Time Scale; Number of Packets; Total data (kb); 
0.100000; 1800; 1353218; 
0.200000; 2040; 1544937; 
0.300000; 2159; 1622918; 
0.400000; 2519; 1886746; 
0.500000; 2519; 1887717; 
0.600000; 2519; 1884609; 
0.700000; 2159; 1614993; 
0.800000; 2159; 1611042; 
0.900000; 1800; 1341726; 
1.000000; 1800; 1348064; 
1.100000; 1800; 1360246; 
1.200000; 1920; 1441358; 
1.300000; 2280; 1700447; 
1.400000; 2519; 1890230; 
1.500000; 2639; 1974979; 
1.600000; 2519; 1888396; 
1.700000; 2519; 1887868; 
1.800000; 2040; 1530132; 
1.900000; 1920; 1444074; 
2.000000; 1800; 1357170; 
2.100000; 1800; 1350851; 
2.200000; 1800; 1353338; 
2.300000; 2040; 1531878; 
2.400000; 2519; 1888644; 
2.500000; 2519; 1888296; 
2.600000; 2519; 1891767; 
2.700000; 2159; 1617856; 
2.800000; 1920; 1439717; 
2.900000; 1800; 1344311; 
3.000000; 1800; 1353697; 
3.100000; 1800; 1348135; 
3.200000; 1920; 1449953; 
3.300000; 2519; 1885014; 
3.400000; 2639; 1985334; 
3.500000; 2639; 1983992; 
3.600000; 2639; 1968400; 
3.700000; 2639; 1975101; 
3.800000; 2280; 1712864; 
3.900000; 1920; 1434611; 
4.000000; 1800; 1346745; 
4.100000; 1800; 1351887; 
4.200000; 1800; 1342043; 
4.300000; 1800; 1341681; 
4.400000; 2159; 1616835; 
4.500000; 2280; 1711711; 
4.600000; 2159; 1612623; 
4.700000; 1920; 1436658; 
4.800000; 1800; 1352793; 
4.900000; 1800; 1347674; 
5.000000; 1800; 1348713; 
5.100000; 1800; 1344201; 
5.200000; 1920; 1446800; 
5.300000; 2040; 1547411; 
5.400000; 2159; 1620764; 
5.500000; 2280; 1705168; 
5.600000; 2159; 1607225; 
5.700000; 2040; 1535723; 
5.800000; 1920; 1428357; 
5.900000; 1920; 1436992; 
6.000000; 1800; 1349162; 
6.100000; 1800; 1346404; 
6.200000; 1920; 1443411; 
6.300000; 2400; 1802147; 
6.400000; 2519; 1896858; 
6.500000; 2639; 1988408; 
6.600000; 2519; 1898432; 
6.700000; 2400; 1791760; 
6.800000; 2400; 1784166; 
6.900000; 1920; 1437359; 
7.000000; 1800; 1359211; 
7.100000; 1800; 1353621; 
7.200000; 1920; 1432342; 
7.300000; 2280; 1710432; 
7.400000; 2519; 1895230; 
7.500000; 2519; 1886907; 
7.600000; 2519; 1889583; 
7.700000; 2280; 1707375; 
7.800000; 1920; 1458921; 
7.900000; 1920; 1439827; 
8.000000; 1800; 1347607; 
8.100000; 1800; 1342571; 
8.200000; 1800; 1355225; 
8.300000; 2280; 1709056; 
8.400000; 2639; 1975984; 
8.500000; 2760; 2062410; 
8.600000; 2639; 1974834; 
8.700000; 2280; 1722886; 
8.800000; 1800; 1350051; 
8.900000; 1800; 1349980; 
9.000000; 1800; 1339264; 
9.100000; 1800; 1346981; 
9.200000; 2040; 1533401; 
9.300000; 2280; 1700504; 
9.400000; 2519; 1885489; 
9.500000; 2519; 1892920; 
9.600000; 2519; 1882692; 
9.700000; 2400; 1800165; 
9.800000; 2280; 1714336; 
