Time Scale; Number of Packets; Total data; 
1; 5680221; 284792583.000000; 
2; 921458; 46195631.000000; 
3; 880826; 44156577.000000; 
4; 956869; 47967831.000000; 
5; 905312; 45378965.000000; 
6; 959254; 48088600.000000; 
7; 906277; 45431791.000000; 
8; 910733; 45654417.000000; 
9; 903581; 45295146.000000; 
10; 944226; 47334000.000000; 
11; 929399; 46592629.000000; 
12; 927616; 46503331.000000; 
13; 910442; 45642713.000000; 
14; 933543; 46797459.000000; 
15; 953314; 47791069.000000; 
16; 921033; 46173394.000000; 
17; 962821; 48265768.000000; 
18; 928664; 46552739.000000; 
19; 970680; 48658340.000000; 
20; 896254; 44927351.000000; 
21; 957893; 48021426.000000; 
22; 932986; 46768343.000000; 
23; 970221; 48637582.000000; 
24; 888031; 44514152.000000; 
25; 915480; 45892459.000000; 
26; 922777; 46262265.000000; 
27; 910564; 45649804.000000; 
28; 903007; 45268273.000000; 
29; 938322; 47042787.000000; 
30; 915890; 45911894.000000; 
31; 941257; 47185223.000000; 
32; 908425; 45536325.000000; 
33; 920356; 46138894.000000; 
34; 932679; 46752804.000000; 
35; 907286; 45483286.000000; 
36; 928648; 46552457.000000; 
37; 915142; 45873663.000000; 
38; 958669; 48058880.000000; 
39; 911371; 45687869.000000; 
40; 951341; 47692166.000000; 
41; 916094; 45925357.000000; 
42; 908265; 45537319.000000; 
43; 922597; 46251252.000000; 
44; 946647; 47452637.000000; 
45; 939198; 47079547.000000; 
46; 931351; 46687960.000000; 
47; 956875; 47965326.000000; 
48; 924310; 46334547.000000; 
49; 929864; 46615607.000000; 
50; 917640; 46005472.000000; 
51; 916021; 45917887.000000; 
52; 901072; 45170849.000000; 
53; 935138; 46876415.000000; 
54; 882245; 44230576.000000; 
55; 968297; 48542151.000000; 
56; 887392; 44490829.000000; 
57; 927991; 46517288.000000; 
58; 892681; 44746275.000000; 
59; 920532; 46147225.000000; 
60; 889580; 44588318.000000; 
61; 918255; 46036996.000000; 
62; 911818; 45713619.000000; 
63; 932508; 46743577.000000; 
64; 931119; 46676335.000000; 
65; 899378; 45089939.000000; 
66; 931501; 46695170.000000; 
67; 911915; 45714576.000000; 
68; 936779; 46960062.000000; 
69; 899921; 45115673.000000; 
70; 939088; 47072413.000000; 
71; 920864; 46164710.000000; 
72; 932475; 46742188.000000; 
73; 881766; 44203361.000000; 
74; 964471; 48351896.000000; 
75; 913450; 45791352.000000; 
76; 923694; 46303690.000000; 
77; 889666; 44601463.000000; 
78; 949424; 47594649.000000; 
79; 925344; 46387360.000000; 
80; 945300; 47388508.000000; 
81; 924253; 46332012.000000; 
82; 929263; 46584061.000000; 
83; 930705; 46651938.000000; 
84; 928028; 46524466.000000; 
85; 951598; 47705218.000000; 
86; 929009; 46571842.000000; 
87; 923635; 46304237.000000; 
88; 920239; 46129855.000000; 
89; 924092; 46323015.000000; 
90; 928394; 46540054.000000; 
91; 922310; 46235518.000000; 
92; 885732; 44405489.000000; 
93; 925153; 46375856.000000; 
94; 889364; 44582425.000000; 
95; 950106; 47632354.000000; 
96; 917698; 46002427.000000; 
97; 946423; 47443604.000000; 
98; 908226; 45532660.000000; 
99; 897729; 45003277.000000; 
100; 925613; 46402606.000000; 
101; 897149; 44968819.000000; 
102; 931360; 46687372.000000; 
103; 927407; 46493269.000000; 
104; 919928; 46117875.000000; 
105; 931047; 46676663.000000; 
106; 918662; 46052400.000000; 
107; 925976; 46417621.000000; 
108; 959532; 48098828.000000; 
109; 914060; 45821346.000000; 
110; 927059; 46476228.000000; 
111; 921423; 46192828.000000; 
112; 913182; 45783028.000000; 
113; 914067; 45816304.000000; 
114; 934277; 46834744.000000; 
115; 892512; 44735639.000000; 
116; 958297; 48041006.000000; 
117; 913251; 45784453.000000; 
118; 913331; 45788769.000000; 
119; 913455; 45795565.000000; 
120; 953750; 47804511.000000; 
121; 898446; 45038836.000000; 
122; 950600; 47651668.000000; 
123; 922106; 46229068.000000; 
124; 944162; 47332568.000000; 
125; 931280; 46687795.000000; 
126; 898894; 45060388.000000; 
127; 952714; 47759268.000000; 
128; 914923; 45865293.000000; 
129; 935262; 46884023.000000; 
130; 924169; 46325957.000000; 
131; 970249; 48637360.000000; 
132; 916628; 45951809.000000; 
133; 933839; 46816754.000000; 
134; 894858; 44859083.000000; 
135; 962054; 48229018.000000; 
136; 903722; 45301651.000000; 
137; 914085; 45822822.000000; 
138; 890280; 44634421.000000; 
139; 909307; 45580604.000000; 
140; 911283; 45683502.000000; 
141; 934319; 46837114.000000; 
142; 938590; 47053309.000000; 
143; 888953; 44562780.000000; 
144; 943158; 47279492.000000; 
145; 913426; 45792664.000000; 
146; 966132; 48429476.000000; 
147; 889784; 44607233.000000; 
148; 959380; 48091902.000000; 
149; 896839; 44959995.000000; 
150; 959453; 48095688.000000; 
151; 909739; 45604856.000000; 
152; 933569; 46799824.000000; 
153; 905690; 45402180.000000; 
154; 921133; 46177912.000000; 
155; 923438; 46291582.000000; 
156; 909685; 45604515.000000; 
157; 904975; 45370816.000000; 
158; 893242; 44774489.000000; 
159; 935115; 46877440.000000; 
160; 920214; 46130542.000000; 
161; 929618; 46604392.000000; 
162; 910713; 45646384.000000; 
163; 924053; 46327141.000000; 
164; 918337; 46033699.000000; 
165; 974079; 48831655.000000; 
