Time Scale; Number of Packets; Total data; 
1; 5884647; 294944379.000000; 
2; 917526; 45991506.000000; 
3; 908359; 45537702.000000; 
4; 917597; 45999468.000000; 
5; 925429; 46381125.000000; 
6; 940218; 47136854.000000; 
7; 940151; 47126173.000000; 
8; 916738; 45937245.000000; 
9; 917124; 45973940.000000; 
10; 915866; 45904797.000000; 
11; 928142; 46509878.000000; 
12; 953257; 47763168.000000; 
13; 925767; 46413551.000000; 
14; 910778; 45669565.000000; 
15; 939795; 47104542.000000; 
16; 927255; 46473325.000000; 
17; 920181; 46118773.000000; 
18; 920647; 46146939.000000; 
19; 942883; 47273244.000000; 
20; 930878; 46675449.000000; 
21; 909764; 45594447.000000; 
22; 925440; 46386575.000000; 
23; 908636; 45539451.000000; 
24; 910462; 45627273.000000; 
25; 914754; 45835282.000000; 
26; 908932; 45562551.000000; 
27; 954146; 47821538.000000; 
28; 930411; 46632773.000000; 
29; 924787; 46347529.000000; 
30; 916995; 45956596.000000; 
31; 924361; 46328480.000000; 
32; 917966; 46010577.000000; 
33; 930713; 46653794.000000; 
34; 911542; 45688309.000000; 
35; 909263; 45571047.000000; 
36; 912199; 45718900.000000; 
37; 915760; 45895649.000000; 
38; 908568; 45538159.000000; 
39; 906641; 45433574.000000; 
40; 908123; 45508824.000000; 
41; 922565; 46239190.000000; 
42; 898486; 45024265.000000; 
43; 917246; 45977322.000000; 
44; 912805; 45756017.000000; 
45; 915302; 45876287.000000; 
46; 963201; 48275508.000000; 
47; 916261; 45903045.000000; 
48; 915973; 45923948.000000; 
49; 916154; 45908152.000000; 
50; 921767; 46197713.000000; 
51; 907536; 45476571.000000; 
52; 922605; 46254490.000000; 
53; 897261; 44960507.000000; 
54; 912754; 45753267.000000; 
55; 914076; 45800233.000000; 
56; 906845; 45455291.000000; 
57; 921751; 46196621.000000; 
58; 925824; 46395667.000000; 
59; 921508; 46205935.000000; 
60; 957545; 47992528.000000; 
61; 964049; 48318756.000000; 
62; 918770; 46027460.000000; 
63; 910895; 45661916.000000; 
64; 910200; 45623956.000000; 
65; 909739; 45591645.000000; 
66; 914630; 45849980.000000; 
67; 907731; 45496000.000000; 
68; 910975; 45657897.000000; 
69; 914988; 45855206.000000; 
70; 919783; 46107187.000000; 
71; 916148; 45924901.000000; 
72; 912279; 45712944.000000; 
73; 908182; 45515867.000000; 
74; 915538; 45894361.000000; 
75; 916542; 45946022.000000; 
76; 912414; 45751660.000000; 
77; 909369; 45580029.000000; 
78; 919574; 46097093.000000; 
79; 911421; 45676209.000000; 
80; 928193; 46539631.000000; 
81; 949660; 47596162.000000; 
82; 932637; 46744501.000000; 
83; 924476; 46321968.000000; 
84; 921069; 46166863.000000; 
85; 904316; 45333597.000000; 
86; 922242; 46213524.000000; 
87; 908483; 45540935.000000; 
88; 922655; 46268830.000000; 
89; 927354; 46500133.000000; 
90; 900831; 45135554.000000; 
91; 925174; 46355379.000000; 
92; 921260; 46173294.000000; 
93; 921251; 46171021.000000; 
94; 915534; 45901143.000000; 
95; 928007; 46517767.000000; 
96; 944239; 47343423.000000; 
97; 958466; 48032086.000000; 
98; 907959; 45513697.000000; 
99; 917426; 45979999.000000; 
100; 915863; 45898126.000000; 
101; 920469; 46135315.000000; 
102; 956728; 47945612.000000; 
103; 908827; 45545030.000000; 
104; 918223; 46025364.000000; 
105; 905934; 45408484.000000; 
106; 920869; 46145030.000000; 
107; 900180; 45126410.000000; 
108; 913905; 45808192.000000; 
109; 899480; 45085338.000000; 
110; 915222; 45868624.000000; 
111; 907243; 45481602.000000; 
112; 899666; 45095506.000000; 
113; 908196; 45522934.000000; 
114; 921275; 46178692.000000; 
115; 919558; 46107056.000000; 
116; 906729; 45439887.000000; 
117; 921975; 46206109.000000; 
118; 900736; 45151174.000000; 
119; 910897; 45649163.000000; 
120; 911111; 45660701.000000; 
121; 919212; 46060543.000000; 
122; 913605; 45800739.000000; 
123; 922980; 46282857.000000; 
124; 916385; 45928501.000000; 
125; 915456; 45879297.000000; 
126; 920246; 46129151.000000; 
127; 910468; 45640712.000000; 
128; 916555; 45952808.000000; 
129; 924573; 46355509.000000; 
130; 914985; 45849713.000000; 
131; 917876; 46012659.000000; 
132; 928691; 46547079.000000; 
133; 915373; 45869938.000000; 
134; 910920; 45645068.000000; 
135; 914744; 45860828.000000; 
136; 908633; 45533317.000000; 
137; 950191; 47624940.000000; 
138; 933224; 46778132.000000; 
139; 901662; 45183402.000000; 
140; 915956; 45901756.000000; 
141; 924609; 46338200.000000; 
142; 911662; 45708736.000000; 
143; 911220; 45667524.000000; 
144; 917799; 45995431.000000; 
145; 916925; 45962143.000000; 
146; 916370; 45920447.000000; 
147; 914275; 45822501.000000; 
148; 909222; 45570188.000000; 
149; 965731; 48384736.000000; 
150; 916416; 45942408.000000; 
151; 921702; 46187403.000000; 
152; 914480; 45834191.000000; 
153; 911312; 45687411.000000; 
154; 916242; 45919993.000000; 
155; 912721; 45742306.000000; 
156; 955509; 47875905.000000; 
157; 911424; 45688842.000000; 
158; 917500; 45978501.000000; 
159; 901276; 45171284.000000; 
160; 910298; 45619015.000000; 
161; 916113; 45929906.000000; 
162; 917470; 45970468.000000; 
163; 904734; 45346145.000000; 
164; 905939; 45402941.000000; 
165; 908133; 45509820.000000; 
166; 934702; 46844832.000000; 
167; 901661; 45189609.000000; 
168; 913670; 45812802.000000; 
169; 911362; 45677935.000000; 
170; 913641; 45792623.000000; 
171; 926153; 46395176.000000; 
172; 909505; 45600653.000000; 
173; 906822; 45446293.000000; 
174; 902161; 45216219.000000; 
175; 918078; 46019104.000000; 
176; 916083; 45910933.000000; 
177; 959028; 48067862.000000; 
178; 901011; 45161232.000000; 
179; 924748; 46354176.000000; 
180; 902904; 45258572.000000; 
181; 920649; 46135948.000000; 
182; 914682; 45838402.000000; 
183; 949354; 47591122.000000; 
184; 955355; 47899380.000000; 
185; 909778; 45612125.000000; 
186; 913776; 45798623.000000; 
187; 906042; 45418370.000000; 
188; 926174; 46418896.000000; 
189; 951470; 47704280.000000; 
190; 920546; 46131944.000000; 
191; 950606; 47647607.000000; 
192; 935415; 46877579.000000; 
193; 932020; 46708910.000000; 
194; 917087; 45974429.000000; 
195; 913252; 45764656.000000; 
196; 929784; 46617982.000000; 
197; 910224; 45645793.000000; 
198; 945170; 47379690.000000; 
199; 923539; 46269039.000000; 
200; 909754; 45584544.000000; 
201; 917998; 46017011.000000; 
202; 917333; 45978034.000000; 
203; 903051; 45269485.000000; 
204; 913572; 45792733.000000; 
205; 907486; 45502210.000000; 
206; 901336; 45166034.000000; 
207; 914933; 45873569.000000; 
208; 912828; 45744449.000000; 
209; 901567; 45184803.000000; 
210; 919224; 46071754.000000; 
211; 896817; 44938875.000000; 
212; 935718; 46897664.000000; 
213; 919214; 46076476.000000; 
214; 912888; 45750515.000000; 
215; 926807; 46441854.000000; 
216; 918804; 46056670.000000; 
217; 905841; 45412893.000000; 
218; 911283; 45680037.000000; 
219; 913158; 45756451.000000; 
220; 915934; 45915797.000000; 
221; 912301; 45732520.000000; 
222; 954339; 47841356.000000; 
223; 958992; 48063320.000000; 
224; 947811; 47519937.000000; 
225; 917856; 45995619.000000; 
226; 906967; 45463867.000000; 
227; 907954; 45508371.000000; 
228; 919517; 46083910.000000; 
229; 957317; 47972090.000000; 
230; 914433; 45821625.000000; 
231; 925841; 46425678.000000; 
232; 935267; 46888792.000000; 
233; 940912; 47154517.000000; 
234; 916514; 45927971.000000; 
235; 910982; 45667897.000000; 
236; 912282; 45739944.000000; 
237; 958879; 48080605.000000; 
238; 957802; 48003341.000000; 
239; 920748; 46147622.000000; 
240; 906070; 45417172.000000; 
241; 911039; 45652236.000000; 
242; 913799; 45791889.000000; 
243; 912420; 45742506.000000; 
244; 953949; 47806870.000000; 
245; 925199; 46371213.000000; 
246; 905565; 45393598.000000; 
247; 908900; 45548191.000000; 
248; 924454; 46329269.000000; 
249; 903270; 45277910.000000; 
250; 964835; 48354868.000000; 
251; 915981; 45914166.000000; 
252; 910465; 45626574.000000; 
253; 918103; 46023028.000000; 
254; 914502; 45837072.000000; 
255; 912721; 45728267.000000; 
256; 900258; 45120982.000000; 
257; 945756; 47396221.000000; 
258; 951946; 47702185.000000; 
259; 924859; 46361924.000000; 
260; 898024; 44996656.000000; 
261; 919399; 46094676.000000; 
262; 907026; 45463481.000000; 
263; 907589; 45479878.000000; 
264; 952671; 47741450.000000; 
265; 948820; 47560392.000000; 
266; 915757; 45892492.000000; 
267; 918832; 46053258.000000; 
268; 917922; 45993843.000000; 
269; 906265; 45433556.000000; 
270; 921687; 46195352.000000; 
271; 954373; 47829567.000000; 
272; 927968; 46502915.000000; 
273; 914905; 45846661.000000; 
274; 934560; 46846410.000000; 
275; 927615; 46484612.000000; 
276; 913367; 45787511.000000; 
277; 920323; 46134589.000000; 
278; 909087; 45574729.000000; 
279; 908141; 45498359.000000; 
280; 919808; 46096259.000000; 
281; 937893; 47017606.000000; 
282; 915486; 45881341.000000; 
283; 909485; 45590405.000000; 
284; 907857; 45500203.000000; 
285; 913515; 45783735.000000; 
286; 895121; 44861681.000000; 
287; 937213; 46972609.000000; 
288; 933311; 46788260.000000; 
289; 927064; 46461012.000000; 
290; 905900; 45398721.000000; 
291; 915129; 45871026.000000; 
292; 952766; 47765782.000000; 
293; 911901; 45716519.000000; 
294; 924090; 46322293.000000; 
295; 921330; 46180049.000000; 
296; 911272; 45683469.000000; 
297; 900382; 45128186.000000; 
298; 964674; 48362285.000000; 
299; 905836; 45395779.000000; 
300; 920528; 46134637.000000; 
301; 893049; 44749416.000000; 
302; 912623; 45751166.000000; 
303; 911377; 45678845.000000; 
304; 909404; 45575799.000000; 
305; 955995; 47949014.000000; 
306; 950915; 47669003.000000; 
307; 946481; 47440181.000000; 
308; 927654; 46466669.000000; 
309; 928739; 46551867.000000; 
310; 915397; 45881705.000000; 
311; 910238; 45626677.000000; 
312; 956467; 47956269.000000; 
313; 921757; 46205359.000000; 
314; 915336; 45868699.000000; 
315; 910940; 45668029.000000; 
316; 922635; 46241837.000000; 
317; 909552; 45585891.000000; 
318; 901838; 45193650.000000; 
319; 919438; 46081331.000000; 
320; 920935; 46152136.000000; 
321; 909794; 45597389.000000; 
322; 911700; 45701390.000000; 
323; 904196; 45315240.000000; 
324; 919461; 46076243.000000; 
325; 922301; 46241674.000000; 
326; 958994; 48074253.000000; 
327; 956100; 47918246.000000; 
328; 924534; 46330774.000000; 
329; 906287; 45434784.000000; 
330; 918917; 46054478.000000; 
331; 915869; 45915201.000000; 
332; 960649; 48157085.000000; 
333; 916650; 45944149.000000; 
334; 923326; 46276707.000000; 
335; 931145; 46671989.000000; 
336; 929799; 46599416.000000; 
337; 914305; 45827858.000000; 
338; 923010; 46250295.000000; 
339; 905150; 45373506.000000; 
340; 913588; 45807188.000000; 
341; 914866; 45855011.000000; 
342; 912453; 45728251.000000; 
343; 907966; 45508624.000000; 
344; 905456; 45398990.000000; 
345; 912221; 45722482.000000; 
346; 958811; 48076795.000000; 
347; 915824; 45899275.000000; 
348; 915910; 45895534.000000; 
349; 927059; 46480400.000000; 
350; 926484; 46417585.000000; 
351; 911646; 45691512.000000; 
352; 916845; 45960977.000000; 
353; 914006; 45806455.000000; 
354; 919863; 46098625.000000; 
355; 903566; 45294705.000000; 
356; 916660; 45941214.000000; 
357; 912737; 45740449.000000; 
358; 908207; 45522014.000000; 
359; 917429; 45987382.000000; 
360; 916121; 45911455.000000; 
361; 906114; 45414673.000000; 
362; 906883; 45462190.000000; 
363; 904672; 45341670.000000; 
364; 906804; 45434167.000000; 
365; 918947; 46062372.000000; 
366; 954489; 47826255.000000; 
367; 933104; 46765106.000000; 
368; 904819; 45346173.000000; 
369; 908068; 45503805.000000; 
370; 917853; 46023271.000000; 
371; 914758; 45839912.000000; 
372; 959437; 48094846.000000; 
373; 919660; 46079335.000000; 
374; 923213; 46273668.000000; 
375; 913253; 45764311.000000; 
376; 909647; 45601565.000000; 
377; 906661; 45430896.000000; 
378; 910211; 45625670.000000; 
379; 961282; 48172826.000000; 
380; 915057; 45863256.000000; 
381; 944096; 47309657.000000; 
382; 924920; 46356590.000000; 
383; 916084; 45911493.000000; 
384; 908728; 45549408.000000; 
385; 914460; 45843794.000000; 
386; 958094; 48016570.000000; 
387; 958726; 48055218.000000; 
388; 915908; 45892745.000000; 
389; 903233; 45274476.000000; 
390; 918738; 46051414.000000; 
391; 908426; 45524072.000000; 
392; 912763; 45754278.000000; 
393; 901888; 45200264.000000; 
394; 906740; 45446765.000000; 
395; 914823; 45856369.000000; 
396; 905440; 45386145.000000; 
397; 909245; 45577823.000000; 
398; 924352; 46316418.000000; 
399; 953915; 47806462.000000; 
400; 915525; 45899467.000000; 
401; 919015; 46075382.000000; 
402; 918619; 46052351.000000; 
403; 915801; 45899925.000000; 
404; 919545; 46093089.000000; 
405; 895585; 44892041.000000; 
406; 966006; 48422455.000000; 
407; 901477; 45185359.000000; 
408; 957623; 47994773.000000; 
409; 905143; 45360623.000000; 
410; 926964; 46457392.000000; 
411; 900925; 45161220.000000; 
412; 962980; 48264291.000000; 
413; 961025; 48182108.000000; 
414; 922636; 46262436.000000; 
415; 913632; 45806264.000000; 
416; 931884; 46691985.000000; 
417; 913432; 45763419.000000; 
418; 905377; 45381173.000000; 
419; 911382; 45675423.000000; 
420; 914856; 45864262.000000; 
421; 910204; 45629954.000000; 
422; 907418; 45495871.000000; 
423; 918149; 46012706.000000; 
424; 906866; 45461454.000000; 
425; 913739; 45788983.000000; 
426; 905661; 45396307.000000; 
427; 915395; 45875184.000000; 
428; 943441; 47282238.000000; 
429; 915982; 45905209.000000; 
430; 911930; 45706741.000000; 
431; 908993; 45559212.000000; 
432; 908788; 45540558.000000; 
433; 915617; 45897037.000000; 
434; 919782; 46108753.000000; 
435; 948051; 47521442.000000; 
436; 923000; 46250012.000000; 
437; 904912; 45368917.000000; 
438; 910982; 45663359.000000; 
439; 900095; 45113766.000000; 
440; 916208; 45931719.000000; 
441; 952514; 47747229.000000; 
442; 937772; 46999751.000000; 
443; 932156; 46723997.000000; 
444; 908697; 45546675.000000; 
445; 920518; 46134938.000000; 
446; 915747; 45892195.000000; 
447; 914229; 45812994.000000; 
448; 910178; 45627633.000000; 
449; 930257; 46645059.000000; 
450; 908539; 45535278.000000; 
451; 908762; 45540329.000000; 
452; 906347; 45428888.000000; 
453; 919382; 46100691.000000; 
454; 952408; 47749680.000000; 
455; 921884; 46205835.000000; 
456; 911169; 45669788.000000; 
457; 897997; 44999046.000000; 
458; 905767; 45404118.000000; 
459; 902475; 45223519.000000; 
460; 915715; 45902157.000000; 
461; 951273; 47678589.000000; 
462; 923220; 46276474.000000; 
463; 919372; 46075512.000000; 
464; 938983; 47063244.000000; 
465; 923048; 46257080.000000; 
466; 923519; 46286394.000000; 
467; 924987; 46356768.000000; 
468; 956807; 47968041.000000; 
469; 929940; 46597400.000000; 
470; 916073; 45921069.000000; 
471; 911819; 45707090.000000; 
472; 911628; 45680919.000000; 
473; 924003; 46297802.000000; 
474; 910454; 45638882.000000; 
475; 949064; 47553868.000000; 
476; 908405; 45532311.000000; 
477; 913282; 45767059.000000; 
478; 904860; 45352448.000000; 
479; 902534; 45247368.000000; 
480; 905379; 45369242.000000; 
481; 918377; 46033337.000000; 
482; 912237; 45714893.000000; 
483; 915320; 45877861.000000; 
484; 949236; 47568066.000000; 
485; 909455; 45577851.000000; 
486; 917954; 46008683.000000; 
487; 920039; 46122853.000000; 
488; 958159; 48010915.000000; 
489; 909913; 45602429.000000; 
490; 906331; 45418436.000000; 
491; 906203; 45420057.000000; 
492; 919894; 46104847.000000; 
493; 912231; 45723750.000000; 
494; 915190; 45880766.000000; 
495; 900579; 45142738.000000; 
496; 921581; 46182122.000000; 
497; 917219; 45963066.000000; 
498; 916737; 45950961.000000; 
499; 914832; 45857250.000000; 
500; 920730; 46139912.000000; 
501; 909515; 45589092.000000; 
502; 955446; 47885726.000000; 
503; 929933; 46604820.000000; 
504; 911905; 45712173.000000; 
505; 913975; 45812170.000000; 
506; 921255; 46175892.000000; 
507; 917874; 45996760.000000; 
508; 921556; 46186832.000000; 
509; 918986; 46072901.000000; 
510; 905793; 45415791.000000; 
511; 913756; 45801404.000000; 
512; 940177; 47128149.000000; 
513; 883781; 44295756.000000; 
514; 917707; 46011755.000000; 
515; 917714; 46000608.000000; 
516; 918168; 46014327.000000; 
517; 947793; 47495450.000000; 
518; 925388; 46377977.000000; 
519; 912774; 45755009.000000; 
520; 901173; 45166841.000000; 
521; 916941; 45959312.000000; 
522; 907297; 45490770.000000; 
523; 915377; 45906091.000000; 
524; 942990; 47263606.000000; 
525; 920078; 46100866.000000; 
526; 912738; 45728362.000000; 
527; 965602; 48407115.000000; 
528; 925456; 46382585.000000; 
529; 903262; 45283473.000000; 
530; 960931; 48174669.000000; 
531; 911859; 45705505.000000; 
532; 931782; 46702689.000000; 
533; 918634; 46048323.000000; 
534; 919922; 46105202.000000; 
535; 917094; 45958452.000000; 
536; 900226; 45114929.000000; 
537; 960301; 48128157.000000; 
538; 922156; 46212063.000000; 
539; 913677; 45799212.000000; 
540; 926530; 46438295.000000; 
541; 914956; 45851358.000000; 
542; 910738; 45657592.000000; 
543; 898169; 45023292.000000; 
544; 916592; 45942008.000000; 
545; 919785; 46085438.000000; 
546; 951061; 47685744.000000; 
547; 915305; 45876786.000000; 
548; 893416; 44789942.000000; 
549; 915642; 45892713.000000; 
550; 911146; 45683736.000000; 
551; 907349; 45467598.000000; 
552; 952080; 47723013.000000; 
553; 939166; 47069835.000000; 
554; 924169; 46323532.000000; 
555; 915844; 45895891.000000; 
556; 909134; 45562415.000000; 
557; 926360; 46428717.000000; 
558; 906779; 45468345.000000; 
559; 921936; 46208142.000000; 
560; 942065; 47215727.000000; 
561; 927295; 46492460.000000; 
562; 911905; 45709210.000000; 
563; 916487; 45954390.000000; 
564; 914571; 45840559.000000; 
565; 952035; 47700888.000000; 
566; 926911; 46462961.000000; 
567; 911851; 45697010.000000; 
568; 906969; 45453583.000000; 
569; 916323; 45936426.000000; 
570; 912990; 45751388.000000; 
571; 952614; 47747980.000000; 
572; 933839; 46812846.000000; 
573; 901492; 45181634.000000; 
574; 915568; 45873816.000000; 
575; 902115; 45221273.000000; 
576; 910301; 45619633.000000; 
577; 950231; 47635689.000000; 
578; 906904; 45450834.000000; 
579; 932385; 46738148.000000; 
580; 907262; 45480340.000000; 
581; 911379; 45662271.000000; 
582; 909652; 45589556.000000; 
583; 921385; 46171109.000000; 
584; 958369; 48018395.000000; 
585; 918808; 46051664.000000; 
586; 917748; 45993623.000000; 
587; 937114; 46980870.000000; 
588; 916232; 45923614.000000; 
589; 919854; 46109048.000000; 
590; 907322; 45466029.000000; 
591; 961053; 48164888.000000; 
592; 884900; 44346777.000000; 
593; 906375; 45427057.000000; 
594; 915569; 45884320.000000; 
595; 908006; 45516307.000000; 
596; 919257; 46073200.000000; 
597; 912034; 45697762.000000; 
598; 909355; 45575564.000000; 
599; 913274; 45766505.000000; 
600; 950308; 47631537.000000; 
601; 933092; 46771659.000000; 
602; 923687; 46295769.000000; 
603; 921079; 46174480.000000; 
604; 914815; 45855128.000000; 
605; 950082; 47605841.000000; 
606; 927750; 46500706.000000; 
607; 919980; 46116155.000000; 
608; 921182; 46164423.000000; 
609; 899535; 45100546.000000; 
610; 912543; 45726068.000000; 
611; 912072; 45711043.000000; 
612; 909559; 45584142.000000; 
613; 913138; 45772449.000000; 
614; 906350; 45433595.000000; 
615; 906366; 45423230.000000; 
616; 915864; 45898055.000000; 
617; 924176; 46327121.000000; 
618; 953912; 47818981.000000; 
619; 913819; 45814259.000000; 
620; 917685; 45998173.000000; 
621; 914400; 45833465.000000; 
622; 906770; 45442964.000000; 
623; 897323; 44991186.000000; 
624; 893119; 44769212.000000; 
625; 957911; 48008050.000000; 
626; 968977; 48562827.000000; 
627; 926086; 46415969.000000; 
628; 942649; 47238804.000000; 
629; 916636; 45954647.000000; 
630; 910109; 45619999.000000; 
631; 915193; 45885489.000000; 
632; 915476; 45906942.000000; 
633; 920696; 46139716.000000; 
634; 902659; 45223329.000000; 
635; 931843; 46693355.000000; 
636; 908572; 45543446.000000; 
637; 916876; 45964724.000000; 
638; 912174; 45727375.000000; 
639; 910189; 45628629.000000; 
640; 899333; 45079706.000000; 
641; 916103; 45911170.000000; 
642; 906040; 45416544.000000; 
643; 913967; 45808070.000000; 
644; 906330; 45412755.000000; 
645; 958457; 48043051.000000; 
646; 922930; 46252919.000000; 
647; 902581; 45234697.000000; 
648; 921217; 46178602.000000; 
649; 908714; 45538712.000000; 
650; 972993; 48767051.000000; 
651; 958247; 48038021.000000; 
652; 914119; 45821119.000000; 
653; 910863; 45648800.000000; 
654; 910062; 45607136.000000; 
655; 913991; 45822743.000000; 
656; 930358; 46636862.000000; 
657; 901016; 45163490.000000; 
658; 916256; 45933760.000000; 
659; 952126; 47726549.000000; 
660; 926015; 46410175.000000; 
661; 939172; 47069154.000000; 
662; 919449; 46087814.000000; 
663; 909201; 45562560.000000; 
664; 903049; 45256639.000000; 
665; 919377; 46085949.000000; 
666; 942407; 47252048.000000; 
667; 919391; 46087286.000000; 
668; 914742; 45836700.000000; 
669; 900053; 45110412.000000; 
670; 910143; 45639321.000000; 
671; 957173; 47977354.000000; 
672; 913294; 45788130.000000; 
673; 960118; 48115173.000000; 
674; 921513; 46178187.000000; 
675; 912081; 45722355.000000; 
676; 912970; 45744694.000000; 
677; 911124; 45673737.000000; 
678; 910148; 45619066.000000; 
679; 906835; 45459294.000000; 
680; 958386; 48025943.000000; 
681; 922338; 46236288.000000; 
682; 920731; 46138172.000000; 
683; 919104; 46063908.000000; 
684; 915590; 45890507.000000; 
685; 905261; 45381770.000000; 
686; 927875; 46500112.000000; 
687; 911926; 45700580.000000; 
688; 915540; 45898182.000000; 
689; 903728; 45292753.000000; 
690; 906051; 45400201.000000; 
691; 915393; 45874572.000000; 
692; 907840; 45490673.000000; 
693; 919035; 46058644.000000; 
694; 904161; 45314411.000000; 
695; 955852; 47897932.000000; 
696; 943232; 47291975.000000; 
697; 917606; 45985361.000000; 
698; 911785; 45704239.000000; 
699; 919974; 46104587.000000; 
700; 962537; 48236307.000000; 
701; 917638; 45993012.000000; 
702; 953798; 47801982.000000; 
703; 917554; 45988652.000000; 
704; 904149; 45317773.000000; 
705; 907061; 45459292.000000; 
706; 917094; 45953850.000000; 
707; 908566; 45530243.000000; 
708; 945255; 47385058.000000; 
709; 924996; 46352723.000000; 
710; 922024; 46218390.000000; 
711; 902066; 45216270.000000; 
712; 913688; 45808278.000000; 
713; 902653; 45230961.000000; 
714; 907224; 45465259.000000; 
715; 910824; 45657302.000000; 
716; 907749; 45499159.000000; 
717; 920962; 46155072.000000; 
718; 917470; 45987105.000000; 
719; 912206; 45707361.000000; 
720; 912024; 45717759.000000; 
721; 952928; 47762825.000000; 
722; 916408; 45930877.000000; 
723; 915899; 45911924.000000; 
724; 906030; 45404286.000000; 
725; 913026; 45769208.000000; 
726; 914193; 45819055.000000; 
727; 959711; 48118794.000000; 
728; 913843; 45803675.000000; 
729; 911220; 45683750.000000; 
730; 914163; 45813965.000000; 
731; 911006; 45670373.000000; 
732; 918532; 46043382.000000; 
733; 917436; 45987354.000000; 
734; 915094; 45852873.000000; 
735; 952616; 47743568.000000; 
736; 929998; 46617481.000000; 
737; 903488; 45275689.000000; 
738; 914512; 45846151.000000; 
739; 912880; 45767839.000000; 
740; 937154; 46994271.000000; 
741; 946856; 47464634.000000; 
742; 951179; 47655582.000000; 
743; 927315; 46458444.000000; 
744; 910849; 45656039.000000; 
745; 910665; 45640686.000000; 
746; 897524; 45003788.000000; 
747; 922152; 46229390.000000; 
748; 946834; 47458412.000000; 
749; 953538; 47794011.000000; 
750; 907820; 45501999.000000; 
751; 914012; 45809287.000000; 
752; 925145; 46377033.000000; 
753; 915716; 45883028.000000; 
754; 911657; 45694742.000000; 
755; 949169; 47564008.000000; 
756; 958477; 48043112.000000; 
757; 943234; 47275373.000000; 
758; 922355; 46224458.000000; 
759; 907527; 45487537.000000; 
760; 919947; 46123849.000000; 
761; 913562; 45781467.000000; 
762; 955775; 47893480.000000; 
763; 917641; 46009534.000000; 
764; 906566; 45443334.000000; 
765; 920650; 46146589.000000; 
766; 917559; 45989641.000000; 
767; 894885; 44867201.000000; 
768; 957809; 48004704.000000; 
769; 911565; 45699561.000000; 
770; 949830; 47599367.000000; 
771; 948271; 47525463.000000; 
772; 911849; 45698892.000000; 
773; 923299; 46272145.000000; 
774; 920142; 46116408.000000; 
775; 898898; 45076672.000000; 
776; 956578; 47933020.000000; 
777; 922490; 46245150.000000; 
778; 897901; 45016457.000000; 
779; 918474; 46039691.000000; 
780; 908426; 45543545.000000; 
781; 915496; 45895151.000000; 
782; 915272; 45861382.000000; 
783; 913244; 45763513.000000; 
784; 922711; 46250339.000000; 
785; 902579; 45236787.000000; 
786; 907970; 45509118.000000; 
787; 911014; 45667964.000000; 
788; 915491; 45886614.000000; 
789; 953153; 47768656.000000; 
790; 915844; 45907093.000000; 
791; 901083; 45152131.000000; 
792; 908849; 45554455.000000; 
793; 917123; 45965989.000000; 
794; 909089; 45568939.000000; 
795; 923156; 46255813.000000; 
796; 946277; 47440428.000000; 
797; 948386; 47539294.000000; 
