Time Scale; Number of Packets; Total data (kb); 
0.100000; 1800; 1353218; 
0.200000; 2159; 1635752; 
0.300000; 2159; 1621721; 
0.400000; 2400; 1797128; 
0.500000; 2519; 1887717; 
0.600000; 2400; 1797041; 
0.700000; 2159; 1613678; 
0.800000; 2159; 1610262; 
0.900000; 2040; 1521054; 
1.000000; 1920; 1441214; 
1.100000; 1800; 1354342; 
1.200000; 2159; 1622875; 
1.300000; 2280; 1705718; 
1.400000; 2519; 1882154; 
1.500000; 2519; 1891179; 
1.600000; 2519; 1888286; 
1.700000; 2400; 1796804; 
1.800000; 2280; 1713680; 
1.900000; 2159; 1625324; 
2.000000; 1920; 1446293; 
2.100000; 1800; 1343768; 
2.200000; 1920; 1445721; 
2.300000; 2400; 1801482; 
2.400000; 2519; 1891214; 
2.500000; 2519; 1886122; 
2.600000; 2519; 1893396; 
2.700000; 2519; 1884336; 
2.800000; 2040; 1526049; 
2.900000; 1920; 1442390; 
3.000000; 1800; 1350422; 
3.100000; 1800; 1358973; 
3.200000; 2040; 1533624; 
3.300000; 2639; 1976739; 
3.400000; 2880; 2165502; 
3.500000; 2880; 2149315; 
3.600000; 2880; 2158442; 
3.700000; 2760; 2065600; 
3.800000; 2280; 1707130; 
3.900000; 1800; 1346050; 
4.000000; 1800; 1345512; 
4.100000; 1800; 1347541; 
4.200000; 1800; 1342820; 
4.300000; 2040; 1525821; 
4.400000; 2400; 1801010; 
4.500000; 2400; 1796893; 
4.600000; 2400; 1800766; 
4.700000; 2040; 1526461; 
4.800000; 1800; 1349369; 
4.900000; 1800; 1342373; 
5.000000; 1800; 1360054; 
5.100000; 1800; 1367334; 
5.200000; 1800; 1346750; 
5.300000; 2040; 1530012; 
5.400000; 2159; 1609014; 
5.500000; 2159; 1613069; 
5.600000; 2159; 1619376; 
5.700000; 2040; 1522434; 
5.800000; 1920; 1442247; 
5.900000; 1800; 1343874; 
6.000000; 1800; 1354441; 
6.100000; 1800; 1350636; 
6.200000; 2159; 1629172; 
6.300000; 2280; 1717096; 
6.400000; 2639; 1990802; 
6.500000; 2760; 2061046; 
6.600000; 2639; 1963413; 
6.700000; 2280; 1703865; 
6.800000; 2159; 1631813; 
6.900000; 1920; 1444290; 
7.000000; 1800; 1345426; 
7.100000; 1800; 1349066; 
7.200000; 1920; 1444312; 
7.300000; 1920; 1433452; 
7.400000; 2400; 1805849; 
7.500000; 2519; 1886554; 
7.600000; 2400; 1804869; 
7.700000; 2159; 1630529; 
7.800000; 1920; 1443890; 
7.900000; 1920; 1430682; 
8.000000; 1800; 1348872; 
8.100000; 1800; 1359607; 
8.200000; 2159; 1604845; 
8.300000; 2280; 1711885; 
8.400000; 2760; 2065552; 
8.500000; 2760; 2065135; 
8.600000; 2760; 2081486; 
8.700000; 2519; 1890873; 
8.800000; 2280; 1700256; 
8.900000; 2040; 1531421; 
9.000000; 1800; 1350145; 
9.100000; 1800; 1336727; 
9.200000; 2159; 1618680; 
9.300000; 2639; 1978822; 
9.400000; 2760; 2063256; 
9.500000; 2760; 2070730; 
9.600000; 2760; 2073489; 
9.700000; 2639; 1984303; 
9.800000; 2400; 1793538; 
9.900000; 2159; 1605626; 
10.000000; 1920; 1438461; 
10.100000; 1800; 1336624; 
10.200000; 2040; 1526872; 
10.300000; 2159; 1606909; 
10.400000; 2400; 1794755; 
10.500000; 2519; 1889741; 
10.600000; 2400; 1807603; 
10.700000; 2280; 1706283; 
10.800000; 2159; 1629523; 
10.900000; 2040; 1536229; 
11.000000; 1800; 1354987; 
11.100000; 1800; 1344696; 
11.200000; 1800; 1356025; 
11.300000; 1920; 1437922; 
11.400000; 2040; 1522343; 
11.500000; 2159; 1620137; 
11.600000; 2159; 1627778; 
11.700000; 1920; 1447220; 
11.800000; 1920; 1434106; 
11.900000; 1800; 1348710; 
12.000000; 1800; 1345585; 
12.100000; 1800; 1342217; 
12.200000; 1920; 1445065; 
12.300000; 2159; 1618530; 
12.400000; 2280; 1708484; 
12.500000; 2400; 1801222; 
12.600000; 2280; 1712805; 
12.700000; 2159; 1626834; 
12.800000; 2040; 1520302; 
12.900000; 1920; 1438319; 
13.000000; 1800; 1349453; 
13.100000; 1800; 1347099; 
13.200000; 1920; 1441726; 
13.300000; 2040; 1538561; 
13.400000; 2519; 1890180; 
13.500000; 2639; 1979188; 
13.600000; 2519; 1888502; 
13.700000; 2040; 1536346; 
13.800000; 1920; 1437349; 
13.900000; 1920; 1436833; 
14.000000; 1800; 1350109; 
14.100000; 1800; 1355987; 
14.200000; 2040; 1530089; 
14.300000; 2280; 1708967; 
14.400000; 2639; 1986280; 
14.500000; 2760; 2070265; 
14.600000; 2639; 1969819; 
14.700000; 2400; 1789925; 
14.800000; 2040; 1543097; 
14.900000; 1800; 1352609; 
15.000000; 1800; 1349450; 
15.100000; 1800; 1353514; 
15.200000; 1800; 1354449; 
15.300000; 2040; 1524962; 
15.400000; 2280; 1709794; 
15.500000; 2400; 1791560; 
15.600000; 2280; 1695740; 
15.700000; 2280; 1703623; 
15.800000; 1800; 1349749; 
15.900000; 1800; 1347782; 
16.000000; 1800; 1355125; 
16.100000; 1800; 1343452; 
16.200000; 1920; 1440244; 
16.300000; 2400; 1789819; 
16.400000; 2639; 1974259; 
16.500000; 2760; 2068753; 
16.600000; 2760; 2059110; 
16.700000; 2400; 1800567; 
16.800000; 2040; 1522369; 
16.900000; 1920; 1438510; 
17.000000; 1800; 1345486; 
17.100000; 1800; 1355163; 
17.200000; 1920; 1443425; 
17.300000; 2040; 1527735; 
17.400000; 2040; 1524737; 
17.500000; 2280; 1692697; 
17.600000; 2040; 1534848; 
17.700000; 2040; 1529683; 
17.800000; 1920; 1438799; 
17.900000; 1800; 1343654; 
18.000000; 1800; 1344500; 
18.100000; 1800; 1340953; 
18.200000; 2159; 1618985; 
18.300000; 2639; 1976413; 
18.400000; 2880; 2164388; 
18.500000; 2880; 2152526; 
18.600000; 2880; 2173974; 
18.700000; 2639; 1991204; 
18.800000; 2280; 1719001; 
18.900000; 2040; 1539636; 
19.000000; 1800; 1354443; 
19.100000; 1800; 1356583; 
19.200000; 1800; 1347936; 
