Time Scale; Number of Packets; Total data; 
1; 5865316; 293976230.000000; 
2; 958554; 48046291.000000; 
3; 909092; 45576967.000000; 
4; 962737; 48259589.000000; 
5; 920478; 46138155.000000; 
6; 922711; 46259403.000000; 
7; 936545; 46939767.000000; 
8; 915713; 45884915.000000; 
9; 908676; 45550108.000000; 
10; 906115; 45413424.000000; 
11; 964073; 48310755.000000; 
12; 916870; 45941073.000000; 
13; 923074; 46279611.000000; 
14; 902377; 45252498.000000; 
15; 914281; 45821407.000000; 
16; 901726; 45199139.000000; 
17; 908490; 45534569.000000; 
18; 953139; 47773785.000000; 
19; 928769; 46559907.000000; 
20; 919744; 46120382.000000; 
21; 899524; 45082940.000000; 
22; 913981; 45807599.000000; 
23; 923420; 46285007.000000; 
24; 949278; 47566802.000000; 
25; 919765; 46085864.000000; 
26; 926135; 46428933.000000; 
27; 919340; 46072300.000000; 
28; 920965; 46158668.000000; 
29; 901548; 45188317.000000; 
30; 921068; 46157238.000000; 
31; 898252; 45023007.000000; 
32; 908161; 45518536.000000; 
33; 912949; 45759906.000000; 
34; 919522; 46089145.000000; 
35; 905915; 45397961.000000; 
36; 894113; 44821330.000000; 
37; 912297; 45716540.000000; 
38; 905318; 45371254.000000; 
39; 915173; 45865594.000000; 
40; 914092; 45806919.000000; 
41; 908275; 45525701.000000; 
42; 897228; 44963402.000000; 
43; 905021; 45358639.000000; 
44; 917539; 45990377.000000; 
45; 895074; 44867226.000000; 
46; 947639; 47492861.000000; 
47; 956326; 47916771.000000; 
48; 923188; 46274538.000000; 
49; 894435; 44822320.000000; 
50; 910544; 45640532.000000; 
51; 913038; 45754924.000000; 
52; 908908; 45554234.000000; 
53; 908636; 45546055.000000; 
54; 914260; 45829387.000000; 
55; 917349; 45963309.000000; 
56; 919856; 46104492.000000; 
57; 918203; 46029230.000000; 
58; 914755; 45834794.000000; 
59; 916659; 45952405.000000; 
60; 911400; 45691868.000000; 
61; 907799; 45502798.000000; 
62; 930449; 46609949.000000; 
63; 902843; 45251532.000000; 
64; 904200; 45329118.000000; 
65; 955978; 47913570.000000; 
66; 917979; 46010793.000000; 
67; 911221; 45675920.000000; 
68; 911017; 45662140.000000; 
69; 917607; 45981932.000000; 
70; 897961; 45014820.000000; 
71; 915576; 45892942.000000; 
72; 905317; 45363980.000000; 
73; 907001; 45456697.000000; 
74; 916345; 45931766.000000; 
75; 902797; 45261489.000000; 
76; 907304; 45486915.000000; 
77; 906387; 45435480.000000; 
78; 916848; 45961684.000000; 
79; 906066; 45412003.000000; 
80; 915570; 45893926.000000; 
81; 900437; 45134301.000000; 
82; 903636; 45296790.000000; 
83; 907503; 45474600.000000; 
84; 908173; 45508000.000000; 
85; 903753; 45302849.000000; 
86; 913562; 45785783.000000; 
87; 914970; 45868450.000000; 
88; 905957; 45428989.000000; 
89; 916605; 45954898.000000; 
90; 906613; 45444319.000000; 
91; 968209; 48501609.000000; 
92; 921250; 46181920.000000; 
93; 910257; 45619229.000000; 
94; 891432; 44686245.000000; 
95; 930013; 46618054.000000; 
96; 919772; 46100797.000000; 
97; 913168; 45765931.000000; 
98; 904095; 45326133.000000; 
99; 906589; 45441955.000000; 
100; 915368; 45864230.000000; 
101; 910640; 45651626.000000; 
102; 923179; 46261970.000000; 
103; 917584; 45980198.000000; 
104; 915333; 45878417.000000; 
105; 900937; 45160796.000000; 
106; 913654; 45787146.000000; 
107; 924422; 46324427.000000; 
108; 910894; 45661816.000000; 
109; 909419; 45588380.000000; 
110; 903295; 45275470.000000; 
111; 909007; 45555874.000000; 
112; 958550; 48058077.000000; 
113; 920915; 46157781.000000; 
114; 912161; 45725165.000000; 
115; 919515; 46092396.000000; 
