Time Scale; Number of Packets; Total data; 
1; 5921817; 296812789.000000; 
2; 967506; 48496968.000000; 
3; 974226; 48838986.000000; 
4; 973683; 48802460.000000; 
5; 972926; 48768697.000000; 
6; 964073; 48339207.000000; 
7; 961953; 48203526.000000; 
8; 960247; 48122845.000000; 
9; 971134; 48677753.000000; 
10; 962661; 48251614.000000; 
11; 970840; 48648405.000000; 
12; 963245; 48272033.000000; 
13; 975747; 48934914.000000; 
14; 962524; 48245383.000000; 
15; 966156; 48422276.000000; 
16; 947194; 47466907.000000; 
17; 967371; 48495501.000000; 
18; 970429; 48655820.000000; 
19; 975325; 48898405.000000; 
20; 969090; 48573130.000000; 
21; 970349; 48635840.000000; 
22; 963031; 48267902.000000; 
23; 963743; 48295229.000000; 
24; 973489; 48778355.000000; 
25; 966599; 48461940.000000; 
26; 977921; 49011852.000000; 
27; 973644; 48797889.000000; 
28; 966424; 48436353.000000; 
29; 960149; 48118522.000000; 
30; 968172; 48522630.000000; 
31; 964280; 48330776.000000; 
32; 974498; 48844105.000000; 
33; 971784; 48698867.000000; 
34; 975360; 48901435.000000; 
35; 963160; 48266158.000000; 
36; 964462; 48334003.000000; 
37; 965443; 48387169.000000; 
38; 963623; 48282296.000000; 
39; 972086; 48727618.000000; 
40; 969772; 48600649.000000; 
41; 969342; 48583387.000000; 
42; 966673; 48461037.000000; 
43; 969795; 48600471.000000; 
44; 964747; 48352418.000000; 
45; 967421; 48476759.000000; 
46; 966908; 48461703.000000; 
47; 974165; 48824576.000000; 
48; 968886; 48557352.000000; 
49; 971366; 48686367.000000; 
50; 961446; 48192436.000000; 
51; 964077; 48313967.000000; 
52; 965666; 48389779.000000; 
53; 968109; 48524680.000000; 
54; 975486; 48897402.000000; 
55; 970605; 48633745.000000; 
56; 972478; 48753872.000000; 
57; 957715; 48011508.000000; 
58; 970884; 48660836.000000; 
59; 961551; 48167188.000000; 
60; 963989; 48323944.000000; 
61; 971597; 48698748.000000; 
62; 976460; 48939433.000000; 
63; 961794; 48217435.000000; 
64; 965685; 48392516.000000; 
65; 963613; 48307964.000000; 
66; 964818; 48344125.000000; 
67; 973859; 48827945.000000; 
68; 969024; 48557791.000000; 
69; 971851; 48708398.000000; 
70; 957334; 47980547.000000; 
71; 961414; 48199571.000000; 
72; 967547; 48509141.000000; 
73; 970212; 48631728.000000; 
74; 970452; 48648634.000000; 
75; 973461; 48791089.000000; 
76; 972520; 48755526.000000; 
77; 967241; 48479864.000000; 
78; 967527; 48490609.000000; 
79; 969914; 48605210.000000; 
80; 963946; 48309614.000000; 
81; 974265; 48836150.000000; 
82; 975130; 48868812.000000; 
83; 969293; 48595006.000000; 
84; 971465; 48713187.000000; 
85; 963724; 48319593.000000; 
86; 963748; 48274983.000000; 
87; 967735; 48506709.000000; 
88; 970310; 48632829.000000; 
89; 971255; 48686145.000000; 
90; 966107; 48433514.000000; 
91; 963519; 48298212.000000; 
92; 966156; 48418883.000000; 
93; 958105; 48034021.000000; 
94; 972087; 48720909.000000; 
95; 970010; 48611440.000000; 
96; 966820; 48460141.000000; 
97; 971250; 48669295.000000; 
98; 961304; 48176227.000000; 
99; 966061; 48422346.000000; 
100; 970189; 48621402.000000; 
101; 968227; 48525641.000000; 
102; 976851; 48962418.000000; 
103; 969988; 48629323.000000; 
104; 974785; 48855404.000000; 
105; 965126; 48369177.000000; 
106; 967523; 48511113.000000; 
107; 965229; 48378604.000000; 
108; 964962; 48365767.000000; 
109; 972205; 48743270.000000; 
110; 974640; 48850949.000000; 
111; 970784; 48644178.000000; 
112; 970097; 48630079.000000; 
113; 962925; 48259196.000000; 
114; 966207; 48419388.000000; 
115; 961406; 48174237.000000; 
116; 972435; 48759881.000000; 
117; 966103; 48440227.000000; 
118; 953072; 47773718.000000; 
119; 960398; 48116397.000000; 
120; 966830; 48466282.000000; 
121; 959294; 48096979.000000; 
122; 966063; 48440269.000000; 
123; 968547; 48555570.000000; 
124; 969476; 48575921.000000; 
125; 969125; 48587235.000000; 
126; 959775; 48089338.000000; 
127; 969628; 48586932.000000; 
128; 962772; 48263828.000000; 
129; 965077; 48372619.000000; 
130; 969189; 48569941.000000; 
131; 976050; 48923174.000000; 
132; 968617; 48538830.000000; 
133; 971833; 48708506.000000; 
134; 959287; 48078798.000000; 
135; 963704; 48309342.000000; 
136; 969978; 48614233.000000; 
137; 967591; 48501644.000000; 
138; 978761; 49053610.000000; 
139; 970011; 48611835.000000; 
140; 972542; 48746085.000000; 
141; 960036; 48100263.000000; 
142; 966259; 48425945.000000; 
143; 960791; 48158786.000000; 
144; 971275; 48669898.000000; 
145; 973708; 48821738.000000; 
146; 973969; 48814152.000000; 
147; 969094; 48570126.000000; 
148; 968083; 48501677.000000; 
149; 966022; 48426141.000000; 
150; 968181; 48516464.000000; 
151; 965568; 48397465.000000; 
152; 970922; 48662258.000000; 
153; 970322; 48637887.000000; 
154; 976172; 48918519.000000; 
155; 968131; 48519543.000000; 
156; 967672; 48497357.000000; 
157; 965374; 48379951.000000; 
158; 965347; 48380869.000000; 
159; 973137; 48770461.000000; 
160; 975571; 48923928.000000; 
161; 965451; 48388090.000000; 
162; 959849; 48088582.000000; 
163; 968929; 48561490.000000; 
164; 963741; 48311736.000000; 
165; 969074; 48566692.000000; 
166; 966673; 48452004.000000; 
167; 975984; 48921292.000000; 
168; 971765; 48707912.000000; 
169; 973134; 48770486.000000; 
170; 964563; 48352423.000000; 
171; 962488; 48236180.000000; 
172; 966106; 48418143.000000; 
173; 962995; 48262258.000000; 
174; 975299; 48890770.000000; 
175; 968995; 48582266.000000; 
176; 978579; 49056566.000000; 
177; 965332; 48391370.000000; 
178; 968536; 48553255.000000; 
179; 960167; 48123299.000000; 
180; 967268; 48490500.000000; 
181; 971291; 48679582.000000; 
182; 975862; 48900674.000000; 
183; 970742; 48647469.000000; 
184; 967071; 48479903.000000; 
185; 967225; 48466639.000000; 
186; 959271; 48088611.000000; 
187; 967804; 48535719.000000; 
188; 963731; 48327288.000000; 
189; 973633; 48771046.000000; 
190; 962482; 48234120.000000; 
191; 975264; 48883475.000000; 
192; 966226; 48426867.000000; 
193; 966288; 48449031.000000; 
194; 964042; 48321778.000000; 
195; 967349; 48490207.000000; 
196; 971960; 48720217.000000; 
197; 978612; 49049214.000000; 
198; 970148; 48612798.000000; 
199; 966398; 48445331.000000; 
200; 968564; 48539266.000000; 
201; 961250; 48166447.000000; 
202; 973014; 48769164.000000; 
203; 965463; 48392311.000000; 
204; 973060; 48765150.000000; 
205; 966988; 48470878.000000; 
206; 970141; 48622949.000000; 
207; 956865; 47966944.000000; 
208; 965185; 48367846.000000; 
209; 968811; 48572779.000000; 
210; 973128; 48780727.000000; 
211; 967435; 48493975.000000; 
212; 972770; 48763549.000000; 
213; 964581; 48349845.000000; 
214; 962449; 48228265.000000; 
215; 972223; 48737814.000000; 
216; 961928; 48210514.000000; 
217; 973755; 48797714.000000; 
218; 970453; 48631767.000000; 
219; 971432; 48692379.000000; 
220; 960679; 48176998.000000; 
221; 967953; 48510558.000000; 
222; 958671; 48049977.000000; 
223; 972505; 48747845.000000; 
224; 969613; 48599219.000000; 
225; 972997; 48787690.000000; 
226; 967304; 48493327.000000; 
227; 967564; 48482435.000000; 
228; 962175; 48240691.000000; 
229; 964592; 48340047.000000; 
230; 971836; 48700573.000000; 
231; 962503; 48244498.000000; 
232; 971862; 48706675.000000; 
233; 968975; 48561921.000000; 
234; 972266; 48739640.000000; 
235; 958937; 48052148.000000; 
236; 963549; 48289678.000000; 
237; 969587; 48598442.000000; 
238; 974680; 48854502.000000; 
239; 972118; 48729405.000000; 
240; 971527; 48679487.000000; 
241; 967303; 48489510.000000; 
242; 963687; 48301192.000000; 
243; 966998; 48464573.000000; 
244; 961792; 48196603.000000; 
245; 975355; 48871786.000000; 
246; 973772; 48814304.000000; 
247; 968466; 48528901.000000; 
248; 961809; 48211739.000000; 
249; 967644; 48509554.000000; 
250; 957269; 47975418.000000; 
251; 973160; 48759882.000000; 
252; 964998; 48373538.000000; 
253; 972859; 48755456.000000; 
254; 966196; 48421868.000000; 
255; 970652; 48651888.000000; 
256; 963410; 48286313.000000; 
257; 964453; 48333642.000000; 
258; 963675; 48299408.000000; 
259; 972087; 48715840.000000; 
260; 974685; 48841832.000000; 
261; 971301; 48687470.000000; 
262; 965289; 48371873.000000; 
263; 961170; 48198737.000000; 
264; 967174; 48478471.000000; 
265; 964321; 48318939.000000; 
266; 972190; 48718534.000000; 
267; 971257; 48684244.000000; 
268; 968697; 48554067.000000; 
269; 965488; 48389710.000000; 
270; 966331; 48446296.000000; 
