Time Scale; Number of Packets; Total data (kb); 
29.400000; 2639; 1981957; 
29.500000; 2760; 2077351; 
29.600000; 2639; 1960480; 
29.700000; 2280; 1710476; 
29.800000; 2280; 1708220; 
29.900000; 2280; 1702287; 
30.000000; 1800; 1345761; 
30.100000; 1800; 1343146; 
30.200000; 1920; 1445803; 
30.300000; 2040; 1529543; 
30.400000; 2040; 1538334; 
30.500000; 2159; 1616191; 
30.600000; 2040; 1534225; 
30.700000; 2040; 1538624; 
30.800000; 2040; 1537405; 
30.900000; 1920; 1455500; 
31.000000; 1800; 1344942; 
31.100000; 1800; 1345643; 
31.200000; 1800; 1338708; 
31.300000; 2040; 1540204; 
31.400000; 2159; 1613514; 
31.500000; 2159; 1625974; 
31.600000; 2159; 1617326; 
31.700000; 2040; 1531202; 
31.800000; 1920; 1430673; 
31.900000; 1800; 1345608; 
32.000000; 1800; 1352935; 
32.100000; 1800; 1346627; 
32.200000; 1920; 1431745; 
32.300000; 2280; 1709864; 
32.400000; 2639; 1976431; 
32.500000; 2760; 2073237; 
32.600000; 2639; 1989042; 
32.700000; 2280; 1703760; 
32.800000; 2040; 1525784; 
32.900000; 1920; 1446516; 
33.000000; 1800; 1344606; 
33.100000; 1800; 1343557; 
33.200000; 1920; 1434799; 
33.300000; 2400; 1808719; 
33.400000; 2639; 1977181; 
33.500000; 2639; 1972220; 
33.600000; 2639; 1980035; 
33.700000; 2519; 1885379; 
33.800000; 2280; 1713877; 
33.900000; 1920; 1432247; 
34.000000; 1800; 1339098; 
34.100000; 1800; 1351299; 
34.200000; 2040; 1534179; 
34.300000; 2280; 1700223; 
34.400000; 2519; 1863259; 
34.500000; 2519; 1880264; 
34.600000; 2519; 1899203; 
34.700000; 2400; 1809343; 
34.800000; 2280; 1706893; 
34.900000; 1920; 1431884; 
35.000000; 1800; 1351893; 
35.100000; 1800; 1353884; 
35.200000; 1920; 1450836; 
35.300000; 1920; 1444339; 
35.400000; 2040; 1539258; 
35.500000; 2040; 1533249; 
35.600000; 2040; 1514607; 
35.700000; 1920; 1438223; 
35.800000; 1920; 1426000; 
35.900000; 1920; 1441855; 
36.000000; 1800; 1355685; 
36.100000; 1800; 1346040; 
36.200000; 1800; 1343549; 
36.300000; 2400; 1794417; 
36.400000; 2639; 1987738; 
36.500000; 2760; 2086350; 
36.600000; 2639; 1977158; 
36.700000; 2400; 1802374; 
36.800000; 2159; 1609893; 
36.900000; 1800; 1341479; 
37.000000; 1800; 1353849; 
37.100000; 1800; 1351694; 
37.200000; 1800; 1342671; 
37.300000; 2159; 1623332; 
37.400000; 2159; 1621075; 
37.500000; 2280; 1712611; 
37.600000; 2280; 1710351; 
37.700000; 2159; 1627909; 
37.800000; 2040; 1536681; 
37.900000; 1800; 1356037; 
38.000000; 1800; 1345734; 
38.100000; 1800; 1346479; 
38.200000; 1800; 1344770; 
38.300000; 2280; 1705886; 
38.400000; 2400; 1785083; 
38.500000; 2400; 1818755; 
38.600000; 2400; 1784585; 
38.700000; 2280; 1693980; 
38.800000; 1920; 1439554; 
38.900000; 1800; 1345328; 
39.000000; 1800; 1341910; 
39.100000; 1800; 1355522; 
39.200000; 1800; 1349769; 
39.300000; 2040; 1538971; 
39.400000; 2040; 1525365; 
39.500000; 2040; 1523435; 
39.600000; 2040; 1534192; 
39.700000; 2040; 1529536; 
39.800000; 1800; 1355890; 
39.900000; 1800; 1344155; 
40.000000; 1800; 1349156; 
40.100000; 1800; 1343228; 
40.200000; 1920; 1446388; 
40.300000; 2040; 1526672; 
40.400000; 2159; 1607563; 
40.500000; 2159; 1617854; 
40.600000; 2159; 1620515; 
40.700000; 2159; 1617500; 
40.800000; 1920; 1433553; 
40.900000; 1920; 1434136; 
41.000000; 1920; 1446844; 
41.100000; 1800; 1363986; 
41.200000; 2280; 1717080; 
41.300000; 2639; 1982272; 
41.400000; 2880; 2161902; 
41.500000; 2880; 2147392; 
41.600000; 2880; 2159694; 
41.700000; 2639; 1983457; 
41.800000; 2280; 1694790; 
41.900000; 2159; 1605943; 
42.000000; 1920; 1438612; 
42.100000; 1800; 1352892; 
42.200000; 1800; 1346401; 
42.300000; 2280; 1707624; 
42.400000; 2519; 1897733; 
42.500000; 2519; 1882417; 
42.600000; 2519; 1885760; 
42.700000; 2280; 1705955; 
42.800000; 2040; 1532829; 
42.900000; 1800; 1355740; 
43.000000; 1800; 1352690; 
43.100000; 1800; 1363690; 
43.200000; 1800; 1346025; 
43.300000; 1800; 1342447; 
43.400000; 2280; 1704418; 
43.500000; 2400; 1795889; 
43.600000; 2280; 1710988; 
43.700000; 2040; 1519914; 
43.800000; 1800; 1347548; 
43.900000; 1800; 1349461; 
44.000000; 1800; 1346033; 
44.100000; 1800; 1347819; 
44.200000; 1800; 1353208; 
44.300000; 2159; 1615474; 
44.400000; 2159; 1625288; 
44.500000; 2159; 1627755; 
44.600000; 2159; 1612735; 
44.700000; 2159; 1620143; 
44.800000; 1920; 1438022; 
44.900000; 1800; 1332270; 
45.000000; 1800; 1353389; 
45.100000; 1800; 1348169; 
45.200000; 1800; 1341872; 
45.300000; 2159; 1613124; 
45.400000; 2400; 1788071; 
45.500000; 2400; 1809160; 
45.600000; 2400; 1793849; 
45.700000; 2280; 1708618; 
45.800000; 1800; 1344116; 
45.900000; 1800; 1351775; 
46.000000; 1800; 1353196; 
46.100000; 1800; 1347418; 
46.200000; 2159; 1615142; 
46.300000; 2760; 2060071; 
46.400000; 3000; 2249236; 
46.500000; 3000; 2251318; 
46.600000; 3000; 2241293; 
46.700000; 2880; 2170997; 
46.800000; 2400; 1796753; 
46.900000; 2040; 1540554; 
47.000000; 1800; 1350178; 
47.100000; 1800; 1348682; 
47.200000; 2159; 1620465; 
47.300000; 2519; 1907081; 
47.400000; 2880; 2157651; 
47.500000; 2880; 2148991; 
47.600000; 2880; 2154935; 
47.700000; 2760; 2063312; 
47.800000; 2400; 1804554; 
47.900000; 2040; 1534209; 
48.000000; 1920; 1441187; 
48.100000; 1800; 1341703; 
48.200000; 2040; 1527503; 
48.300000; 2280; 1720718; 
48.400000; 2400; 1804829; 
48.500000; 2760; 2086689; 
48.600000; 2400; 1795609; 
48.700000; 2280; 1708745; 
48.800000; 2040; 1531461; 
48.900000; 2040; 1527698; 
49.000000; 1800; 1340331; 
49.100000; 1800; 1355427; 
49.200000; 1800; 1351771; 
49.300000; 2159; 1605679; 
49.400000; 2159; 1608282; 
49.500000; 2159; 1620114; 
49.600000; 2159; 1615025; 
49.700000; 2159; 1616583; 
49.800000; 1800; 1363276; 
49.900000; 1800; 1351418; 
50.000000; 1800; 1352438; 
50.100000; 1800; 1352941; 
50.200000; 1800; 1356734; 
50.300000; 2159; 1622340; 
50.400000; 2519; 1887278; 
50.500000; 2519; 1881978; 
50.600000; 2519; 1880281; 
50.700000; 2280; 1712375; 
50.800000; 1800; 1352482; 
50.900000; 1800; 1347860; 
51.000000; 1800; 1348653; 
51.100000; 1800; 1351578; 
51.200000; 1800; 1351517; 
51.300000; 2040; 1516643; 
51.400000; 2040; 1522321; 
51.500000; 2040; 1538263; 
51.600000; 2040; 1528878; 
51.700000; 2040; 1540404; 
51.800000; 1800; 1342875; 
51.900000; 1800; 1350380; 
52.000000; 1800; 1353068; 
52.100000; 1800; 1340428; 
52.200000; 1920; 1445451; 
52.300000; 2040; 1528120; 
52.400000; 2040; 1537609; 
52.500000; 2040; 1521751; 
52.600000; 2040; 1527460; 
52.700000; 2040; 1518356; 
52.800000; 1920; 1435401; 
52.900000; 1920; 1436996; 
53.000000; 1920; 1438438; 
53.100000; 1800; 1339598; 
53.200000; 1920; 1442060; 
53.300000; 2040; 1525148; 
53.400000; 2159; 1622045; 
53.500000; 2159; 1619770; 
53.600000; 2159; 1605732; 
53.700000; 2040; 1525722; 
53.800000; 2040; 1536981; 
53.900000; 1920; 1430168; 
54.000000; 1800; 1343713; 
54.100000; 1800; 1339472; 
54.200000; 1920; 1436162; 
54.300000; 2040; 1526456; 
54.400000; 2159; 1613834; 
54.500000; 2400; 1792201; 
54.600000; 2159; 1628256; 
54.700000; 2159; 1615122; 
54.800000; 1920; 1442030; 
54.900000; 1920; 1437589; 
55.000000; 1800; 1348943; 
55.100000; 1800; 1345355; 
55.200000; 2040; 1515518; 
55.300000; 2280; 1704457; 
55.400000; 2639; 1979666; 
55.500000; 2639; 1986538; 
55.600000; 2639; 1996368; 
55.700000; 2519; 1884518; 
55.800000; 2040; 1527671; 
55.900000; 1920; 1442360; 
56.000000; 1800; 1345839; 
56.100000; 1800; 1348365; 
56.200000; 1920; 1448685; 
56.300000; 2280; 1709434; 
56.400000; 2519; 1881760; 
56.500000; 2519; 1882323; 
56.600000; 2519; 1905282; 
56.700000; 2280; 1702833; 
56.800000; 2040; 1530950; 
56.900000; 1920; 1437696; 
57.000000; 1920; 1447579; 
57.100000; 1800; 1345865; 
57.200000; 1800; 1352820; 
57.300000; 1920; 1434195; 
57.400000; 2159; 1616255; 
57.500000; 2280; 1708303; 
57.600000; 2159; 1611908; 
57.700000; 2040; 1533235; 
57.800000; 1920; 1437854; 
57.900000; 1800; 1352585; 
58.000000; 1800; 1346823; 
58.100000; 1800; 1362002; 
58.200000; 1800; 1359341; 
58.300000; 2040; 1543983; 
58.400000; 2159; 1617656; 
58.500000; 2280; 1722389; 
58.600000; 2159; 1633086; 
58.700000; 2040; 1524902; 
58.800000; 1800; 1345691; 
58.900000; 1800; 1355244; 
59.000000; 1800; 1348821; 
59.100000; 1800; 1348658; 
59.200000; 2040; 1535157; 
59.300000; 2280; 1706751; 
59.400000; 2400; 1790245; 
59.500000; 2400; 1798979; 
59.600000; 2400; 1805963; 
59.700000; 2400; 1790561; 
59.800000; 2159; 1615739; 
59.900000; 1920; 1442543; 
60.000000; 1800; 1359941; 
60.100000; 1800; 1348699; 
60.200000; 2159; 1606799; 
60.300000; 2519; 1891922; 
60.400000; 2639; 1975606; 
60.500000; 2639; 1980032; 
60.600000; 2639; 1975455; 
60.700000; 2639; 1985100; 
60.800000; 2280; 1725940; 
60.900000; 1920; 1433865; 
61.000000; 1800; 1347932; 
61.100000; 1800; 1348350; 
61.200000; 1920; 1438751; 
61.300000; 2040; 1513320; 
61.400000; 2400; 1794932; 
61.500000; 2400; 1804664; 
61.600000; 2400; 1802400; 
61.700000; 2280; 1718613; 
61.800000; 2040; 1528143; 
61.900000; 1800; 1353567; 
62.000000; 1800; 1337754; 
62.100000; 1800; 1353757; 
62.200000; 1800; 1348829; 
62.300000; 2040; 1521335; 
62.400000; 2159; 1613872; 
62.500000; 2280; 1709500; 
62.600000; 2159; 1611594; 
62.700000; 2159; 1609735; 
62.800000; 1920; 1434437; 
62.900000; 1800; 1345675; 
63.000000; 1800; 1353281; 
63.100000; 1800; 1345701; 
63.200000; 2040; 1541295; 
63.300000; 2880; 2147263; 
63.400000; 3000; 2251280; 
63.500000; 3000; 2242724; 
63.600000; 3000; 2262648; 
63.700000; 2880; 2162469; 
63.800000; 2639; 1975585; 
63.900000; 1920; 1429538; 
64.000000; 1920; 1440716; 
64.100000; 1800; 1357180; 
64.200000; 1920; 1428702; 
64.300000; 2159; 1617476; 
64.400000; 2159; 1630072; 
64.500000; 2280; 1710152; 
64.600000; 2159; 1620916; 
64.700000; 2159; 1615408; 
64.800000; 2040; 1529433; 
64.900000; 1920; 1440486; 
65.000000; 1920; 1429376; 
65.100000; 1800; 1352807; 
65.200000; 1800; 1351150; 
65.300000; 2280; 1696244; 
65.400000; 2280; 1710028; 
65.500000; 2280; 1711983; 
65.600000; 2280; 1720595; 
65.700000; 2280; 1719753; 
65.800000; 1920; 1438898; 
65.900000; 1800; 1342235; 
66.000000; 1800; 1361372; 
66.100000; 1800; 1338751; 
66.200000; 2040; 1530981; 
66.300000; 2280; 1701575; 
66.400000; 2880; 2164760; 
66.500000; 2880; 2150756; 
66.600000; 2880; 2157726; 
66.700000; 2280; 1712982; 
66.800000; 2040; 1531085; 
66.900000; 2040; 1537751; 
67.000000; 1800; 1352785; 
67.100000; 1800; 1359425; 
67.200000; 2280; 1712173; 
67.300000; 2519; 1882283; 
67.400000; 2639; 1954133; 
67.500000; 2639; 1984045; 
67.600000; 2639; 1975666; 
67.700000; 2639; 1981576; 
67.800000; 2519; 1893319; 
67.900000; 2040; 1530016; 
68.000000; 1800; 1352428; 
68.100000; 1800; 1355679; 
68.200000; 1920; 1448423; 
68.300000; 2040; 1529751; 
68.400000; 2280; 1711457; 
68.500000; 2280; 1698371; 
68.600000; 2280; 1702195; 
68.700000; 2159; 1622524; 
68.800000; 1920; 1430853; 
68.900000; 1800; 1352085; 
69.000000; 1800; 1364111; 
69.100000; 1800; 1347022; 
69.200000; 2040; 1529251; 
69.300000; 2159; 1622529; 
69.400000; 2519; 1890465; 
69.500000; 2519; 1886460; 
69.600000; 2519; 1883417; 
69.700000; 2280; 1707630; 
69.800000; 2040; 1528034; 
69.900000; 1920; 1437754; 
70.000000; 1800; 1352155; 
70.100000; 1800; 1352053; 
70.200000; 2159; 1618901; 
70.300000; 2280; 1706122; 
70.400000; 2760; 2063425; 
70.500000; 2760; 2060938; 
70.600000; 2760; 2067683; 
70.700000; 2519; 1881959; 
70.800000; 2280; 1697645; 
70.900000; 2159; 1621929; 
71.000000; 1800; 1349898; 
71.100000; 1800; 1341815; 
71.200000; 1920; 1452664; 
71.300000; 2040; 1535896; 
71.400000; 2159; 1608241; 
71.500000; 2159; 1616778; 
71.600000; 2159; 1623248; 
71.700000; 2040; 1526837; 
71.800000; 1920; 1455155; 
71.900000; 1920; 1442706; 
72.000000; 1800; 1350631; 
72.100000; 1800; 1338919; 
72.200000; 1800; 1350078; 
72.300000; 2280; 1716735; 
72.400000; 2400; 1787305; 
72.500000; 2639; 1975709; 
72.600000; 2400; 1806699; 
72.700000; 2280; 1710976; 
72.800000; 2040; 1531821; 
72.900000; 1800; 1346318; 
73.000000; 1800; 1353619; 
73.100000; 1800; 1339145; 
73.200000; 2040; 1534092; 
73.300000; 2280; 1704772; 
73.400000; 2400; 1803303; 
73.500000; 2519; 1884704; 
73.600000; 2400; 1803498; 
73.700000; 2280; 1700515; 
73.800000; 2159; 1617985; 
73.900000; 2040; 1520683; 
74.000000; 1800; 1352354; 
74.100000; 1800; 1349688; 
74.200000; 2040; 1532487; 
74.300000; 2159; 1606885; 
74.400000; 2639; 1984073; 
74.500000; 2639; 1969964; 
74.600000; 2639; 1993863; 
74.700000; 2280; 1721621; 
74.800000; 2159; 1621275; 
74.900000; 2040; 1530105; 
75.000000; 1800; 1353701; 
75.100000; 1800; 1350852; 
75.200000; 1920; 1448579; 
75.300000; 2400; 1793692; 
75.400000; 2639; 1967909; 
75.500000; 2639; 1981342; 
75.600000; 2639; 1978500; 
75.700000; 2400; 1803412; 
75.800000; 2040; 1523389; 
75.900000; 1920; 1433559; 
76.000000; 1800; 1345470; 
76.100000; 1800; 1348305; 
76.200000; 1920; 1443054; 
76.300000; 2280; 1716552; 
76.400000; 2519; 1892951; 
76.500000; 2519; 1875048; 
76.600000; 2519; 1882647; 
76.700000; 2280; 1711855; 
76.800000; 2040; 1540539; 
76.900000; 1920; 1435560; 
77.000000; 1800; 1354027; 
77.100000; 1800; 1347453; 
77.200000; 2040; 1531149; 
77.300000; 2400; 1804833; 
77.400000; 2760; 2074415; 
77.500000; 2760; 2070847; 
77.600000; 2760; 2059475; 
77.700000; 2400; 1796627; 
77.800000; 2280; 1723099; 
77.900000; 2040; 1529569; 
78.000000; 1800; 1352090; 
78.100000; 1800; 1349609; 
78.200000; 1920; 1450258; 
78.300000; 2040; 1524700; 
78.400000; 2400; 1801459; 
78.500000; 2519; 1899580; 
78.600000; 2400; 1801312; 
78.700000; 2159; 1627977; 
78.800000; 2040; 1525011; 
78.900000; 1800; 1346781; 
79.000000; 1800; 1350821; 
79.100000; 1800; 1351476; 
79.200000; 1800; 1347993; 
79.300000; 2040; 1523738; 
79.400000; 2040; 1538373; 
79.500000; 2040; 1533366; 
79.600000; 2040; 1523315; 
79.700000; 2040; 1532917; 
79.800000; 1800; 1347971; 
79.900000; 1800; 1344268; 
80.000000; 1800; 1347219; 
80.100000; 1800; 1350454; 
80.200000; 1920; 1425143; 
80.300000; 2159; 1621259; 
80.400000; 2159; 1605797; 
80.500000; 2280; 1708971; 
80.600000; 2159; 1610206; 
80.700000; 2159; 1627572; 
80.800000; 1920; 1437839; 
80.900000; 1920; 1434634; 
81.000000; 1800; 1352870; 
81.100000; 1800; 1342391; 
81.200000; 2280; 1711050; 
81.300000; 2400; 1804451; 
81.400000; 2519; 1884770; 
81.500000; 2639; 1979397; 
81.600000; 2519; 1894060; 
81.700000; 2400; 1799124; 
81.800000; 2400; 1796746; 
81.900000; 2040; 1532288; 
82.000000; 1920; 1430620; 
82.100000; 1800; 1341601; 
82.200000; 2159; 1618923; 
82.300000; 2639; 1989166; 
82.400000; 3000; 2253507; 
82.500000; 3000; 2238595; 
82.600000; 3000; 2250018; 
82.700000; 2880; 2155415; 
82.800000; 2280; 1705076; 
82.900000; 2040; 1524408; 
83.000000; 1800; 1348487; 
83.100000; 1800; 1347159; 
83.200000; 1920; 1443997; 
83.300000; 2040; 1539641; 
83.400000; 2280; 1708762; 
83.500000; 2400; 1797875; 
83.600000; 2280; 1713456; 
83.700000; 2040; 1522467; 
83.800000; 2040; 1523775; 
83.900000; 1920; 1440385; 
84.000000; 1800; 1348630; 
84.100000; 1800; 1356008; 
84.200000; 2040; 1521525; 
84.300000; 2159; 1625745; 
84.400000; 2519; 1889193; 
84.500000; 2519; 1881023; 
84.600000; 2519; 1895831; 
84.700000; 2159; 1624964; 
84.800000; 2040; 1543528; 
84.900000; 2040; 1528733; 
85.000000; 1800; 1351618; 
85.100000; 1800; 1350776; 
85.200000; 2040; 1515572; 
85.300000; 2280; 1699192; 
85.400000; 2519; 1878189; 
85.500000; 2639; 1968245; 
85.600000; 2519; 1899832; 
85.700000; 2400; 1795549; 
85.800000; 2280; 1704797; 
85.900000; 2040; 1538489; 
86.000000; 1800; 1345122; 
86.100000; 1800; 1352857; 
86.200000; 1920; 1440687; 
86.300000; 2159; 1617787; 
86.400000; 2159; 1616251; 
86.500000; 2159; 1616564; 
86.600000; 2159; 1601547; 
86.700000; 2159; 1613545; 
86.800000; 2040; 1533751; 
86.900000; 1920; 1435400; 
87.000000; 1800; 1353590; 
87.100000; 1800; 1351105; 
87.200000; 1800; 1344728; 
