Time Scale; Number of Packets; Total data (kb); 
0.100000; 1800; 1353218; 
0.200000; 1800; 1363749; 
0.300000; 2280; 1716344; 
0.400000; 2280; 1706894; 
0.500000; 2280; 1711657; 
0.600000; 2280; 1703369; 
0.700000; 2280; 1702549; 
0.800000; 2040; 1525966; 
0.900000; 1800; 1344200; 
1.000000; 1800; 1334001; 
1.100000; 1800; 1365632; 
1.200000; 2040; 1537020; 
1.300000; 2400; 1794783; 
1.400000; 3000; 2242782; 
1.500000; 3000; 2248719; 
1.600000; 3000; 2248190; 
1.700000; 2639; 1977045; 
1.800000; 2280; 1713838; 
1.900000; 1920; 1448857; 
2.000000; 1800; 1349285; 
2.100000; 1800; 1347901; 
2.200000; 1800; 1353190; 
2.300000; 1920; 1443290; 
2.400000; 2400; 1801983; 
2.500000; 2400; 1791839; 
2.600000; 2400; 1813188; 
2.700000; 1920; 1434471; 
2.800000; 1800; 1348287; 
2.900000; 1800; 1343406; 
3.000000; 1800; 1353812; 
3.100000; 1800; 1351921; 
3.200000; 2280; 1723305; 
3.300000; 2639; 1974421; 
3.400000; 2639; 1989499; 
3.500000; 2760; 2060587; 
3.600000; 2760; 2067968; 
3.700000; 2639; 1970817; 
3.800000; 2639; 1979548; 
3.900000; 1920; 1434603; 
4.000000; 1800; 1348076; 
4.100000; 1800; 1346651; 
4.200000; 1920; 1433390; 
4.300000; 2159; 1612827; 
4.400000; 2159; 1620267; 
4.500000; 2159; 1619229; 
4.600000; 2159; 1610894; 
4.700000; 2159; 1625737; 
4.800000; 2159; 1610240; 
4.900000; 1800; 1352060; 
5.000000; 1800; 1341703; 
5.100000; 1800; 1364492; 
5.200000; 1920; 1450360; 
5.300000; 2400; 1795957; 
5.400000; 2400; 1798400; 
5.500000; 2400; 1790272; 
5.600000; 2400; 1800712; 
5.700000; 2400; 1789323; 
5.800000; 2280; 1710859; 
5.900000; 1920; 1438656; 
6.000000; 1800; 1349486; 
6.100000; 1800; 1354100; 
6.200000; 1920; 1447183; 
6.300000; 2400; 1809913; 
6.400000; 2880; 2168850; 
6.500000; 3000; 2243963; 
6.600000; 2880; 2139735; 
6.700000; 2519; 1890542; 
6.800000; 2159; 1625840; 
6.900000; 1920; 1438754; 
7.000000; 1920; 1438316; 
7.100000; 1800; 1357436; 
7.200000; 1920; 1440692; 
7.300000; 2519; 1887252; 
7.400000; 2519; 1885771; 
7.500000; 2519; 1892278; 
7.600000; 2519; 1904052; 
7.700000; 2519; 1887479; 
7.800000; 2400; 1792739; 
7.900000; 1920; 1450207; 
8.000000; 1800; 1342815; 
8.100000; 1800; 1349433; 
8.200000; 1920; 1436932; 
8.300000; 2760; 2060325; 
8.400000; 2760; 2072138; 
8.500000; 2880; 2172041; 
8.600000; 2760; 2061882; 
8.700000; 2760; 2063551; 
8.800000; 2519; 1894360; 
8.900000; 1920; 1429717; 
9.000000; 1800; 1345791; 
9.100000; 1800; 1352633; 
9.200000; 1920; 1440287; 
9.300000; 2040; 1523366; 
9.400000; 2040; 1529126; 
9.500000; 2040; 1529815; 
9.600000; 2040; 1531767; 
9.700000; 2040; 1536730; 
9.800000; 1920; 1431266; 
9.900000; 1920; 1432588; 
10.000000; 1800; 1340258; 
10.100000; 1800; 1348681; 
10.200000; 2040; 1516998; 
10.300000; 2280; 1704587; 
10.400000; 2400; 1790458; 
10.500000; 2519; 1895263; 
10.600000; 2519; 1889703; 
10.700000; 2280; 1706484; 
10.800000; 2159; 1625584; 
10.900000; 1920; 1448817; 
11.000000; 1800; 1351000; 
11.100000; 1800; 1352546; 
11.200000; 2040; 1534496; 
11.300000; 2519; 1883563; 
11.400000; 2760; 2066731; 
11.500000; 2880; 2167410; 
11.600000; 2760; 2076871; 
11.700000; 2639; 1974929; 
11.800000; 2159; 1614896; 
11.900000; 2040; 1520454; 
12.000000; 1920; 1445384; 
12.100000; 1800; 1351529; 
12.200000; 1800; 1352626; 
12.300000; 1920; 1433735; 
12.400000; 2040; 1534154; 
12.500000; 2159; 1616158; 
12.600000; 2040; 1535317; 
12.700000; 1920; 1437645; 
12.800000; 1800; 1346032; 
12.900000; 1800; 1343121; 
13.000000; 1800; 1350737; 
13.100000; 1800; 1354572; 
13.200000; 2040; 1539664; 
13.300000; 2159; 1616829; 
13.400000; 2760; 2072242; 
13.500000; 2760; 2066132; 
13.600000; 2760; 2076592; 
13.700000; 2400; 1801560; 
13.800000; 2040; 1527868; 
13.900000; 2040; 1532678; 
14.000000; 1920; 1436447; 
14.100000; 1800; 1350526; 
14.200000; 2040; 1539518; 
14.300000; 2280; 1714310; 
14.400000; 2519; 1880969; 
14.500000; 2639; 1978297; 
14.600000; 2519; 1879501; 
14.700000; 2400; 1809456; 
14.800000; 2159; 1618960; 
14.900000; 1800; 1353241; 
15.000000; 1800; 1353634; 
15.100000; 1800; 1347183; 
15.200000; 2040; 1534897; 
15.300000; 2040; 1517661; 
15.400000; 2400; 1787165; 
15.500000; 2519; 1881766; 
15.600000; 2400; 1801258; 
15.700000; 2159; 1617440; 
15.800000; 2040; 1533166; 
15.900000; 2040; 1521251; 
16.000000; 1800; 1346894; 
16.100000; 1800; 1344711; 
16.200000; 1920; 1431896; 
16.300000; 2159; 1624791; 
16.400000; 2280; 1706053; 
16.500000; 2280; 1696495; 
16.600000; 2280; 1708283; 
16.700000; 2159; 1613360; 
16.800000; 2040; 1531950; 
16.900000; 1800; 1340436; 
17.000000; 1800; 1361230; 
17.100000; 1800; 1346968; 
17.200000; 1800; 1351289; 
17.300000; 2040; 1524581; 
17.400000; 2040; 1514275; 
17.500000; 2159; 1622999; 
17.600000; 2159; 1618487; 
17.700000; 2040; 1527313; 
17.800000; 2040; 1529318; 
17.900000; 1800; 1338647; 
18.000000; 1800; 1339225; 
18.100000; 1800; 1356594; 
18.200000; 2040; 1520919; 
18.300000; 2159; 1623040; 
18.400000; 2400; 1799791; 
18.500000; 2400; 1796631; 
18.600000; 2400; 1816709; 
18.700000; 2280; 1721039; 
18.800000; 2040; 1535844; 
18.900000; 2040; 1543331; 
19.000000; 1800; 1349001; 
19.100000; 1800; 1358518; 
19.200000; 1920; 1439896; 
19.300000; 2400; 1812621; 
19.400000; 2519; 1882795; 
19.500000; 2639; 1973557; 
19.600000; 2519; 1882488; 
19.700000; 2400; 1796798; 
19.800000; 2280; 1708721; 
19.900000; 1920; 1434818; 
20.000000; 1800; 1343534; 
20.100000; 1800; 1338941; 
20.200000; 1920; 1433332; 
20.300000; 2280; 1708765; 
20.400000; 2519; 1892152; 
20.500000; 2519; 1881206; 
20.600000; 2519; 1911395; 
20.700000; 2280; 1702190; 
20.800000; 1920; 1448687; 
20.900000; 1920; 1447930; 
21.000000; 1800; 1355798; 
21.100000; 1800; 1344207; 
21.200000; 1920; 1424687; 
21.300000; 2280; 1723987; 
21.400000; 2639; 1969114; 
21.500000; 2639; 1967247; 
21.600000; 2639; 1977289; 
21.700000; 2280; 1708554; 
21.800000; 2280; 1710046; 
21.900000; 1920; 1441873; 
22.000000; 1920; 1431245; 
22.100000; 1800; 1346433; 
22.200000; 2040; 1528752; 
22.300000; 2400; 1776935; 
22.400000; 2639; 1986036; 
22.500000; 2639; 1978233; 
22.600000; 2639; 1978055; 
22.700000; 2519; 1877850; 
22.800000; 2400; 1793403; 
22.900000; 2040; 1538409; 
23.000000; 1920; 1429763; 
23.100000; 1800; 1344620; 
23.200000; 1920; 1443170; 
23.300000; 2280; 1705545; 
23.400000; 2760; 2073312; 
23.500000; 2760; 2070097; 
23.600000; 2760; 2065905; 
23.700000; 2519; 1886739; 
23.800000; 1920; 1431763; 
23.900000; 1920; 1439345; 
24.000000; 1800; 1352692; 
24.100000; 1800; 1349526; 
24.200000; 1800; 1346499; 
24.300000; 1800; 1349065; 
24.400000; 2280; 1705909; 
24.500000; 2639; 1986040; 
24.600000; 2280; 1705439; 
24.700000; 2040; 1543792; 
24.800000; 1800; 1355151; 
24.900000; 1800; 1350287; 
25.000000; 1800; 1337737; 
25.100000; 1800; 1342198; 
25.200000; 2040; 1532277; 
25.300000; 2280; 1707893; 
25.400000; 2400; 1792270; 
25.500000; 2400; 1801224; 
25.600000; 2400; 1797511; 
25.700000; 2400; 1807287; 
25.800000; 2159; 1609992; 
25.900000; 2040; 1526246; 
26.000000; 1800; 1352639; 
26.100000; 1800; 1343890; 
26.200000; 2040; 1527974; 
26.300000; 2280; 1709478; 
26.400000; 2400; 1796329; 
26.500000; 2400; 1802136; 
26.600000; 2400; 1787110; 
26.700000; 2280; 1698437; 
26.800000; 2159; 1624146; 
26.900000; 1920; 1430488; 
27.000000; 1800; 1354715; 
27.100000; 1800; 1346706; 
27.200000; 2040; 1524922; 
27.300000; 2040; 1532289; 
27.400000; 2280; 1716475; 
27.500000; 2400; 1796019; 
27.600000; 2280; 1707192; 
27.700000; 2159; 1611219; 
27.800000; 2040; 1524190; 
27.900000; 1920; 1442145; 
28.000000; 1800; 1336972; 
28.100000; 1800; 1350570; 
28.200000; 1920; 1434066; 
28.300000; 2400; 1804375; 
28.400000; 2760; 2064966; 
28.500000; 2760; 2067022; 
28.600000; 2760; 2071997; 
28.700000; 2519; 1890205; 
28.800000; 2159; 1603110; 
28.900000; 1800; 1344261; 
29.000000; 1800; 1349949; 
29.100000; 1800; 1341291; 
29.200000; 2280; 1703063; 
29.300000; 2280; 1707687; 
