Time Scale; Number of Packets; Total data; 
1; 5883798; 294903686.000000; 
2; 923537; 46291795.000000; 
3; 908107; 45521699.000000; 
4; 910540; 45645573.000000; 
5; 915891; 45908177.000000; 
6; 950962; 47670118.000000; 
7; 902229; 45224643.000000; 
8; 946733; 47442074.000000; 
9; 910401; 45636981.000000; 
10; 916346; 45928536.000000; 
11; 916842; 45943149.000000; 
12; 915658; 45881031.000000; 
13; 932109; 46729728.000000; 
14; 957651; 48021287.000000; 
15; 926634; 46442664.000000; 
16; 947746; 47505075.000000; 
17; 916967; 45958734.000000; 
18; 908627; 45544137.000000; 
19; 918986; 46070939.000000; 
20; 917697; 46017322.000000; 
21; 914219; 45819766.000000; 
22; 909856; 45599861.000000; 
23; 909493; 45587304.000000; 
24; 933725; 46789709.000000; 
25; 920132; 46102379.000000; 
26; 937233; 46985634.000000; 
27; 917280; 45966585.000000; 
28; 926839; 46459354.000000; 
29; 912019; 45708786.000000; 
30; 922259; 46216848.000000; 
31; 902562; 45239013.000000; 
32; 924297; 46330380.000000; 
33; 907856; 45507292.000000; 
34; 916333; 45924518.000000; 
35; 915653; 45890665.000000; 
36; 955883; 47914048.000000; 
37; 912013; 45705700.000000; 
38; 922455; 46227089.000000; 
39; 903461; 45277380.000000; 
40; 911636; 45683746.000000; 
41; 933796; 46807256.000000; 
42; 907260; 45465659.000000; 
43; 912745; 45741417.000000; 
44; 910410; 45643715.000000; 
45; 928536; 46535564.000000; 
46; 922962; 46253100.000000; 
47; 918160; 46005331.000000; 
48; 924972; 46372590.000000; 
49; 948425; 47526039.000000; 
50; 922164; 46221298.000000; 
51; 919353; 46073183.000000; 
52; 918939; 46069123.000000; 
53; 913311; 45765685.000000; 
54; 912251; 45727104.000000; 
55; 912450; 45725100.000000; 
56; 900619; 45135312.000000; 
57; 915348; 45883003.000000; 
58; 909805; 45588528.000000; 
59; 923858; 46311552.000000; 
60; 923512; 46302886.000000; 
61; 910977; 45655973.000000; 
62; 953332; 47754764.000000; 
63; 930132; 46626010.000000; 
64; 945649; 47395683.000000; 
65; 912926; 45755958.000000; 
66; 913081; 45769848.000000; 
67; 895397; 44875789.000000; 
68; 920770; 46155334.000000; 
69; 911070; 45659380.000000; 
70; 927845; 46510623.000000; 
71; 908831; 45555271.000000; 
72; 905865; 45393015.000000; 
73; 918669; 46042363.000000; 
74; 914119; 45825706.000000; 
75; 958926; 48071454.000000; 
76; 914336; 45847483.000000; 
77; 927111; 46465913.000000; 
78; 918705; 46055835.000000; 
79; 913314; 45770831.000000; 
80; 898946; 45075009.000000; 
81; 922987; 46258230.000000; 
82; 950009; 47612141.000000; 
83; 957690; 47996159.000000; 
84; 914112; 45808405.000000; 
85; 907864; 45508408.000000; 
86; 920110; 46110656.000000; 
87; 914915; 45868919.000000; 
88; 912932; 45779203.000000; 
89; 913762; 45810973.000000; 
90; 941445; 47168808.000000; 
91; 962185; 48214328.000000; 
92; 946466; 47436497.000000; 
93; 909589; 45593406.000000; 
94; 903697; 45306376.000000; 
95; 898076; 45010104.000000; 
96; 955752; 47922677.000000; 
97; 928729; 46546853.000000; 
98; 946039; 47424927.000000; 
99; 921275; 46167194.000000; 
100; 900898; 45151380.000000; 
101; 909071; 45559793.000000; 
102; 912238; 45715262.000000; 
103; 956835; 47946485.000000; 
104; 912356; 45733683.000000; 
105; 920619; 46142249.000000; 
106; 891800; 44695544.000000; 
107; 917049; 45966589.000000; 
108; 912624; 45744215.000000; 
109; 922371; 46226107.000000; 
110; 915840; 45907354.000000; 
111; 913884; 45814753.000000; 
112; 914728; 45853828.000000; 
113; 907803; 45502502.000000; 
114; 919357; 46083087.000000; 
115; 898037; 45021398.000000; 
116; 913179; 45763916.000000; 
117; 961253; 48171561.000000; 
118; 921861; 46209321.000000; 
119; 908328; 45524969.000000; 
120; 909890; 45592755.000000; 
121; 910979; 45654915.000000; 
122; 911012; 45682672.000000; 
123; 914409; 45845076.000000; 
124; 911366; 45683057.000000; 
125; 911283; 45660939.000000; 
126; 896240; 44928106.000000; 
127; 917420; 45983956.000000; 
128; 909173; 45588095.000000; 
129; 916010; 45922638.000000; 
130; 903702; 45288572.000000; 
131; 916211; 45925007.000000; 
132; 951787; 47703068.000000; 
133; 920454; 46125578.000000; 
134; 902898; 45244435.000000; 
135; 914050; 45818226.000000; 
136; 883203; 44264121.000000; 
137; 901206; 45165890.000000; 
138; 895518; 44883447.000000; 
139; 898276; 45023244.000000; 
140; 929649; 46594292.000000; 
141; 931035; 46658626.000000; 
142; 906171; 45424854.000000; 
143; 916453; 45936679.000000; 
144; 884272; 44316069.000000; 
145; 891792; 44698455.000000; 
146; 915776; 45898634.000000; 
147; 910833; 45640132.000000; 
148; 884633; 44338511.000000; 
149; 895290; 44866048.000000; 
150; 889351; 44576043.000000; 
151; 931883; 46702499.000000; 
152; 894708; 44834875.000000; 
