Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
5; 6; 72; 6.809280; 12.545666; 72; 12.545666;
5; 9; 71; 48.402075; 48.899812; 71; 48.899812;
5; 4; 71; 11.496260; 10.633318; 71; 11.496260;
5; 14; 68; 45.964571; 55.000000; 68; 55.000000;
5; 8; 56; 16.731394; 15.746707; 56; 16.731394;
5; 16; 55; 44.002164; 48.000934; 55; 48.000934;
5; 10; 52; 45.703511; 46.622493; 52; 46.622493;
5; 15; 52; 16.598477; 25.167112; 52; 24.782422;
5; 1; 44; 45.945362; 45.994352; 44; 45.945362;
5; 18; 41; 17.806390; 18.872638; 41; 17.806390;
5; 2; 38; 39.611404; 37.758067; 38; 39.611404;
5; 12; 35; 45.812170; 45.873825; 35; 45.812170;
5; 11; 26; 46.236111; 47.289818; 26; 46.236111;
5; 17; 25; 15.629799; 17.016533; 25; 15.629799;
5; 7; 18; 17.181472; 14.730515; 18; 17.181472;
5; 13; 7; 13.608951; 16.797053; 7; 13.608951;



6; 5; 91; 11.838022; 13.449691; 91; 13.449691;
6; 0; 88; 7.331457; 11.496260; 88; 11.496260;
6; 19; 78; 45.208699; 48.143409; 78; 48.143409;
6; 3; 76; 17.375608; 21.000000; 76; 21.000000;
6; 6; 72; 10.788559; 12.545666; 72; 12.545666;
6; 9; 71; 48.283509; 48.899812; 71; 48.899812;
6; 4; 71; 7.331457; 11.496260; 71; 11.496260;
6; 14; 68; 47.204408; 55.000000; 68; 55.000000;
6; 8; 56; 16.193167; 16.731394; 56; 16.731394;
6; 16; 55; 48.164724; 48.000934; 55; 48.164724;
6; 10; 52; 45.450506; 46.622493; 52; 46.622493;
6; 15; 52; 16.383671; 24.782422; 52; 18.569950;
6; 1; 44; 46.044836; 45.945362; 44; 46.044836;
6; 18; 41; 19.352776; 17.806390; 41; 19.352776;
6; 2; 38; 38.422869; 39.611404; 38; 38.422869;
6; 12; 35; 46.175892; 45.812170; 35; 46.175892;
6; 11; 26; 46.732054; 46.236111; 26; 46.732054;
6; 17; 25; 18.133808; 15.629799; 25; 18.133808;
6; 7; 18; 16.364039; 17.181472; 18; 16.364039;
6; 13; 7; 16.654067; 13.608951; 7; 16.654067;



7; 5; 91; 13.511726; 13.449691; 91; 13.511726;
7; 0; 88; 0.515403; 11.496260; 88; 11.496260;
7; 19; 78; 45.330505; 48.143409; 78; 48.143409;
7; 3; 76; 19.091818; 21.000000; 76; 21.000000;
7; 6; 72; 10.209362; 12.545666; 72; 12.545666;
7; 9; 71; 48.459370; 48.899812; 71; 48.899812;
7; 4; 71; 0.515403; 11.496260; 71; 11.496260;
7; 14; 68; 46.297409; 55.000000; 68; 55.000000;
7; 8; 56; 14.840599; 16.731394; 56; 16.731394;
7; 16; 55; 44.436878; 48.164724; 55; 48.164724;
7; 10; 52; 46.273287; 46.622493; 52; 46.622493;
7; 15; 52; 16.908460; 18.569950; 52; 18.569950;
7; 1; 44; 45.330073; 46.044836; 44; 46.044836;
7; 18; 41; 17.422482; 19.352776; 41; 19.352776;
7; 2; 38; 38.202676; 38.422869; 38; 38.422869;
7; 12; 35; 45.996760; 46.175892; 35; 46.175892;
7; 11; 26; 45.946198; 46.732054; 26; 46.732054;
7; 17; 25; 17.345230; 18.133808; 25; 18.133808;
7; 7; 18; 16.104321; 16.364039; 18; 16.364039;
7; 13; 7; 16.388110; 16.654067; 7; 16.592032;



8; 5; 91; 13.070223; 13.511726; 91; 13.511726;
8; 0; 88; 7.048983; 11.496260; 88; 11.496260;
8; 19; 78; 45.178079; 48.143409; 78; 48.143409;
8; 3; 76; 18.137643; 21.000000; 76; 21.000000;
8; 6; 72; 7.739699; 12.545666; 72; 12.545666;
8; 9; 71; 48.359814; 48.899812; 71; 48.899812;
8; 4; 71; 7.048983; 11.496260; 71; 11.496260;
8; 14; 68; 45.233228; 55.000000; 68; 55.000000;
8; 8; 56; 14.811117; 16.731394; 56; 16.731394;
8; 16; 55; 45.203623; 48.164724; 55; 48.164724;
8; 10; 52; 46.056332; 46.622493; 52; 46.622493;
8; 15; 52; 16.791617; 18.569950; 52; 18.569950;
8; 1; 44; 44.980899; 46.044836; 44; 46.044836;
8; 18; 41; 17.593950; 19.352776; 41; 18.233745;
8; 2; 38; 39.851097; 38.422869; 38; 39.851097;
8; 12; 35; 46.186832; 46.175892; 35; 46.186832;
8; 11; 26; 45.686555; 46.732054; 26; 45.686555;
8; 17; 25; 18.448275; 18.133808; 25; 18.448275;
8; 7; 18; 15.892295; 16.364039; 18; 15.892295;
8; 13; 7; 17.474671; 16.592032; 7; 17.474671;



9; 5; 91; 10.870760; 13.511726; 91; 13.511726;
9; 0; 88; 3.747117; 11.496260; 88; 11.496260;
9; 19; 78; 47.172593; 48.143409; 78; 48.143409;
9; 3; 76; 18.583631; 21.000000; 76; 21.000000;
9; 6; 72; 4.676748; 12.545666; 72; 12.545666;
9; 9; 71; 49.062593; 48.899812; 71; 49.062593;
9; 4; 71; 3.747117; 11.496260; 71; 11.496260;
9; 14; 68; 45.754581; 55.000000; 68; 55.000000;
9; 8; 56; 16.183417; 16.731394; 56; 16.731394;
9; 16; 55; 45.444179; 48.164724; 55; 48.164724;
9; 10; 52; 46.048314; 46.622493; 52; 46.622493;
9; 15; 52; 16.686569; 18.569950; 52; 18.569950;
9; 1; 44; 46.061980; 46.044836; 44; 46.061980;
9; 18; 41; 17.937249; 18.233745; 41; 18.233745;
9; 2; 38; 39.839022; 39.851097; 38; 39.851097;
9; 12; 35; 46.072901; 46.186832; 35; 46.186832;
9; 11; 26; 46.186446; 45.686555; 26; 46.186446;
9; 17; 25; 17.524277; 18.448275; 25; 18.448275;
9; 7; 18; 15.564417; 15.892295; 18; 15.892295;
9; 13; 7; 14.841060; 17.474671; 7; 16.794855;



10; 5; 91; 10.201951; 13.511726; 91; 13.511726;
10; 0; 88; 3.540586; 11.496260; 88; 11.496260;
10; 19; 78; 45.257076; 48.143409; 78; 48.143409;
10; 3; 76; 17.980495; 21.000000; 76; 21.000000;
10; 6; 72; 4.186816; 12.545666; 72; 12.545666;
10; 9; 71; 48.696746; 49.062593; 71; 49.062593;
10; 4; 71; 3.540586; 11.496260; 71; 11.496260;
10; 14; 68; 45.880645; 55.000000; 68; 55.000000;
10; 8; 56; 17.283359; 16.731394; 56; 17.283359;
10; 16; 55; 47.065069; 48.164724; 55; 48.164724;
10; 10; 52; 46.180806; 46.622493; 52; 46.622493;
10; 15; 52; 18.037996; 18.569950; 52; 18.569950;
10; 1; 44; 46.125784; 46.061980; 44; 46.125784;
10; 18; 41; 19.357962; 18.233745; 41; 19.357962;
10; 2; 38; 37.464381; 39.851097; 38; 39.851097;
10; 12; 35; 45.415791; 46.186832; 35; 46.186832;
10; 11; 26; 45.574204; 46.186446; 26; 46.186446;
10; 17; 25; 17.776441; 18.448275; 25; 18.448275;
10; 7; 18; 14.589363; 15.892295; 18; 14.592047;
10; 13; 7; 16.355117; 16.794855; 7; 16.355117;



11; 5; 91; 10.310214; 13.511726; 91; 13.511726;
11; 0; 88; 11.019257; 11.496260; 88; 11.496260;
11; 19; 78; 46.522807; 48.143409; 78; 48.143409;
11; 3; 76; 16.625064; 21.000000; 76; 21.000000;
11; 6; 72; 6.555161; 12.545666; 72; 12.545666;
11; 9; 71; 48.498065; 49.062593; 71; 49.062593;
11; 4; 71; 11.019257; 11.496260; 71; 11.496260;
11; 14; 68; 48.147172; 55.000000; 68; 55.000000;
11; 8; 56; 15.650672; 17.283359; 56; 17.283359;
11; 16; 55; 45.841202; 48.164724; 55; 48.164724;
11; 10; 52; 45.858723; 46.622493; 52; 46.622493;
11; 15; 52; 17.041343; 18.569950; 52; 18.569950;
11; 1; 44; 46.042504; 46.125784; 44; 46.125784;
11; 18; 41; 19.081739; 19.357962; 41; 19.139522;
11; 2; 38; 36.392839; 39.851097; 38; 36.392839;
11; 12; 35; 45.801404; 46.186832; 35; 45.801404;
11; 11; 26; 47.854444; 46.186446; 26; 47.854444;
11; 17; 25; 18.612993; 18.448275; 25; 18.612993;
11; 7; 18; 15.993300; 14.592047; 18; 15.993300;
11; 13; 7; 17.183274; 16.355117; 7; 17.183274;



12; 5; 91; 11.472947; 13.511726; 91; 13.511726;
12; 0; 88; 13.210569; 11.496260; 88; 13.210569;
12; 19; 78; 45.420597; 48.143409; 78; 48.143409;
12; 3; 76; 19.091891; 21.000000; 76; 21.000000;
12; 6; 72; 8.331456; 12.545666; 72; 12.545666;
12; 9; 71; 48.209361; 49.062593; 71; 49.062593;
12; 4; 71; 13.210569; 11.496260; 71; 13.210569;
