Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
1; 30; 14.000000; 373.358491; 17; 14.000000;
8; 24; 524.000000; 524.000000; 24; 524.000000;
12; 15; 478.000000; 14.000000; 20; 190.000000;
3; 9; 369.000000; 153.735849; 15; 114.000000;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 219.000000; 219.000000; 82; 219.000000;
14; 81; 76.000000; 76.000000; 81; 76.000000;
18; 76; 217.000000; 217.000000; 76; 217.000000;
11; 74; 90.000000; 90.000000; 74; 90.000000;
16; 65; 141.000000; 141.000000; 65; 141.000000;
0; 59; 350.000000; 350.000000; 59; 350.000000;
2; 59; 478.000000; 259.000000; 59; 478.000000;
4; 50; 107.000000; 107.000000; 50; 107.000000;
13; 45; 338.000000; 384.000000; 45; 338.000000;
10; 45; 384.000000; 338.000000; 45; 384.000000;
19; 40; 150.000000; 150.000000; 40; 150.000000;
8; 24; 482.000000; 524.000000; 24; 482.000000;
12; 20; 407.000000; 190.000000; 58; 286.111111;
1; 17; 14.000000; 14.000000; 17; 14.000000;
3; 15; 369.000000; 114.000000; 7; 369.000000;
17; 10; 259.000000; 482.000000; 18; 217.833333;
6; 10; 524.000000; 407.000000; 12; 143.055556;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 219.000000; 219.000000; 82; 219.000000;
14; 81; 76.000000; 76.000000; 81; 76.000000;
18; 76; 217.000000; 217.000000; 76; 217.000000;
11; 74; 90.000000; 90.000000; 74; 90.000000;
16; 65; 141.000000; 141.000000; 65; 141.000000;
0; 59; 259.000000; 350.000000; 59; 259.000000;
2; 59; 350.000000; 478.000000; 59; 350.000000;
12; 58; 524.000000; 286.111111; 15; 524.000000;
4; 50; 478.000000; 107.000000; 50; 478.000000;
10; 45; 338.000000; 384.000000; 45; 338.000000;
13; 45; 107.000000; 338.000000; 45; 107.000000;
19; 40; 384.000000; 150.000000; 40; 384.000000;
8; 24; 150.000000; 482.000000; 24; 150.000000;
17; 18; 407.000000; 217.833333; 61; 343.677966;
1; 17; 14.000000; 14.000000; 17; 14.000000;
6; 12; 369.000000; 143.055556; 39; 296.398305;
3; 7; 482.000000; 369.000000; 8; 74.923729;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 219.000000; 219.000000; 82; 219.000000;
14; 81; 76.000000; 76.000000; 81; 76.000000;
18; 76; 217.000000; 217.000000; 76; 217.000000;
11; 74; 90.000000; 90.000000; 74; 90.000000;
16; 65; 141.000000; 141.000000; 65; 141.000000;
17; 61; 14.000000; 343.677966; 10; 14.000000;
2; 59; 350.000000; 350.000000; 59; 350.000000;
0; 59; 259.000000; 259.000000; 59; 259.000000;
4; 50; 107.000000; 478.000000; 50; 107.000000;
13; 45; 384.000000; 107.000000; 45; 384.000000;
10; 45; 338.000000; 338.000000; 45; 338.000000;
19; 40; 150.000000; 384.000000; 40; 150.000000;
6; 39; 407.000000; 296.398305; 10; 407.000000;
8; 24; 524.000000; 150.000000; 24; 524.000000;
1; 17; 482.000000; 14.000000; 28; 334.050000;
12; 15; 478.000000; 524.000000; 24; 294.750000;
3; 8; 369.000000; 74.923729; 16; 157.200000;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 219.000000; 219.000000; 82; 219.000000;
14; 81; 76.000000; 76.000000; 81; 76.000000;
18; 76; 217.000000; 217.000000; 76; 217.000000;
11; 74; 90.000000; 90.000000; 74; 90.000000;
16; 65; 141.000000; 141.000000; 65; 141.000000;
2; 59; 350.000000; 350.000000; 59; 350.000000;
0; 59; 478.000000; 259.000000; 59; 478.000000;
4; 50; 107.000000; 107.000000; 50; 107.000000;
13; 45; 338.000000; 384.000000; 45; 338.000000;
10; 45; 384.000000; 338.000000; 45; 384.000000;
19; 40; 150.000000; 150.000000; 40; 150.000000;
1; 28; 482.000000; 334.050000; 17; 482.000000;
8; 24; 14.000000; 524.000000; 24; 14.000000;
12; 24; 407.000000; 294.750000; 15; 407.000000;
3; 16; 369.000000; 157.200000; 83; 270.666667;
17; 10; 259.000000; 14.000000; 16; 169.166667;
6; 10; 524.000000; 407.000000; 13; 169.166667;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
3; 83; 482.000000; 270.666667; 7; 482.000000;
5; 82; 219.000000; 219.000000; 82; 219.000000;
14; 81; 76.000000; 76.000000; 81; 76.000000;
18; 76; 217.000000; 217.000000; 76; 217.000000;
11; 74; 90.000000; 90.000000; 74; 90.000000;
16; 65; 141.000000; 141.000000; 65; 141.000000;
0; 59; 350.000000; 478.000000; 59; 350.000000;
2; 59; 259.000000; 350.000000; 59; 259.000000;
4; 50; 478.000000; 107.000000; 50; 478.000000;
10; 45; 338.000000; 384.000000; 45; 338.000000;
13; 45; 107.000000; 338.000000; 45; 107.000000;
19; 40; 384.000000; 150.000000; 40; 384.000000;
8; 24; 524.000000; 14.000000; 35; 260.047059;
1; 17; 150.000000; 482.000000; 17; 150.000000;
17; 16; 407.000000; 169.166667; 36; 207.564706;
12; 15; 14.000000; 407.000000; 15; 14.000000;
6; 13; 369.000000; 169.166667; 41; 289.388235;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 76.000000; 219.000000; 82; 76.000000;
14; 81; 217.000000; 76.000000; 81; 217.000000;
18; 76; 90.000000; 217.000000; 76; 90.000000;
11; 74; 141.000000; 90.000000; 74; 141.000000;
16; 65; 259.000000; 141.000000; 65; 259.000000;
0; 59; 350.000000; 350.000000; 59; 350.000000;
2; 59; 478.000000; 259.000000; 59; 478.000000;
4; 50; 107.000000; 478.000000; 50; 107.000000;
10; 45; 338.000000; 338.000000; 45; 338.000000;
13; 45; 384.000000; 107.000000; 45; 384.000000;
6; 41; 369.000000; 289.388235; 10; 369.000000;
19; 40; 150.000000; 384.000000; 40; 150.000000;
17; 36; 482.000000; 207.564706; 10; 482.000000;
8; 35; 524.000000; 260.047059; 85; 293.716216;
1; 17; 14.000000; 150.000000; 17; 14.000000;
12; 15; 407.000000; 14.000000; 24; 254.540541;
3; 7; 219.000000; 482.000000; 8; 58.743243;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
8; 85; 14.000000; 293.716216; 24; 14.000000;
5; 82; 219.000000; 76.000000; 82; 219.000000;
14; 81; 76.000000; 217.000000; 81; 76.000000;
18; 76; 217.000000; 90.000000; 76; 217.000000;
11; 74; 90.000000; 141.000000; 74; 90.000000;
16; 65; 141.000000; 259.000000; 65; 141.000000;
2; 59; 350.000000; 478.000000; 59; 350.000000;
0; 59; 259.000000; 350.000000; 59; 259.000000;
4; 50; 478.000000; 107.000000; 50; 478.000000;
13; 45; 338.000000; 384.000000; 45; 338.000000;
10; 45; 107.000000; 338.000000; 45; 107.000000;
19; 40; 150.000000; 150.000000; 40; 150.000000;
12; 24; 407.000000; 254.540541; 15; 407.000000;
1; 17; 482.000000; 14.000000; 33; 459.377778;
17; 10; 524.000000; 482.000000; 15; 270.222222;
6; 10; 384.000000; 369.000000; 17; 270.222222;
3; 8; 369.000000; 58.743243; 20; 216.177778;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 76.000000; 219.000000; 82; 76.000000;
14; 81; 217.000000; 76.000000; 81; 217.000000;
18; 76; 90.000000; 217.000000; 76; 90.000000;
11; 74; 141.000000; 90.000000; 74; 141.000000;
16; 65; 259.000000; 141.000000; 65; 259.000000;
