Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
5; 14; 52; 45.964571; 48.043459; 52; 45.964571;
5; 7; 48; 17.181472; 14.730515; 48; 17.181472;
5; 1; 48; 45.945362; 36.555184; 9; 45.945362;
5; 5; 46; 10.280987; 11.014977; 46; 10.280987;
5; 15; 36; 16.598477; 19.055508; 36; 16.598477;
5; 3; 30; 18.039921; 18.807772; 30; 18.039921;
5; 2; 30; 39.611404; 37.758067; 30; 39.611404;
5; 13; 26; 13.608951; 16.797053; 26; 13.608951;
5; 4; 19; 11.496260; 10.437630; 19; 11.496260;
5; 12; 16; 45.812170; 30.263397; 10; 45.812170;
5; 16; 16; 44.002164; 19.496098; 7; 44.002164;
5; 19; 15; 48.143409; 45.901539; 29; 47.028396;
5; 10; 15; 45.703511; 46.071853; 23; 24.781887;
5; 18; 13; 17.806390; 18.188646; 13; 17.806390;
5; 8; 12; 16.731394; 15.174835; 12; 16.731394;
5; 9; 11; 48.402075; 48.475687; 16; 24.938744;



6; 17; 92; 18.133808; 15.629799; 92; 18.133808;
6; 0; 72; 7.331457; 11.496260; 72; 7.331457;
6; 11; 61; 46.732054; 46.236111; 61; 46.732054;
6; 6; 55; 10.788559; 6.809280; 55; 10.788559;
6; 14; 52; 47.204408; 45.964571; 52; 47.204408;
6; 7; 48; 16.364039; 17.181472; 48; 16.364039;
6; 5; 46; 11.838022; 10.280987; 46; 11.838022;
6; 15; 36; 16.383671; 16.598477; 36; 16.383671;
6; 3; 30; 17.375608; 18.039921; 30; 17.375608;
6; 2; 30; 38.422869; 39.611404; 30; 38.422869;
6; 19; 29; 45.208699; 47.028396; 15; 45.208699;
6; 13; 26; 16.654067; 13.608951; 26; 16.654067;
6; 10; 23; 45.450506; 24.781887; 15; 45.450506;
6; 4; 19; 7.331457; 11.496260; 19; 7.331457;
6; 9; 16; 48.283509; 24.938744; 11; 48.283509;
6; 18; 13; 19.352776; 17.806390; 13; 19.352776;
6; 8; 12; 16.193167; 16.731394; 12; 16.193167;
6; 12; 10; 46.175892; 45.812170; 10; 46.175892;
6; 1; 9; 46.044836; 45.945362; 14; 30.161311;
6; 16; 7; 48.164724; 44.002164; 9; 14.614121;



7; 17; 92; 17.345230; 18.133808; 92; 17.345230;
7; 0; 72; 0.515403; 7.331457; 72; 0.515403;
7; 11; 61; 45.946198; 46.732054; 61; 45.946198;
7; 6; 55; 10.209362; 10.788559; 55; 10.209362;
7; 14; 52; 46.297409; 47.204408; 52; 46.297409;
7; 7; 48; 16.104321; 16.364039; 48; 16.104321;
7; 5; 46; 13.511726; 11.838022; 46; 13.511726;
7; 15; 36; 16.908460; 16.383671; 36; 16.908460;
7; 3; 30; 19.091818; 17.375608; 30; 19.091818;
7; 2; 30; 38.202676; 38.422869; 30; 38.202676;
7; 13; 26; 16.388110; 16.654067; 26; 16.388110;
7; 4; 19; 0.515403; 7.331457; 19; 0.515403;
7; 10; 15; 46.273287; 45.450506; 15; 46.273287;
7; 19; 15; 45.330505; 45.208699; 15; 45.330505;
7; 1; 14; 45.330073; 30.161311; 9; 45.330073;
7; 18; 13; 17.422482; 19.352776; 13; 17.422482;
7; 8; 12; 14.840599; 16.193167; 12; 14.840599;
7; 9; 11; 48.459370; 48.283509; 11; 48.459370;
7; 12; 10; 45.996760; 46.175892; 10; 45.996760;
7; 16; 9; 44.436878; 14.614121; 16; 15.310808;



8; 17; 92; 18.448275; 17.345230; 92; 18.448275;
8; 0; 72; 7.048983; 0.515403; 72; 7.048983;
8; 11; 61; 45.686555; 45.946198; 61; 45.686555;
8; 6; 55; 7.739699; 10.209362; 55; 7.739699;
8; 14; 52; 45.233228; 46.297409; 52; 45.233228;
8; 7; 48; 15.892295; 16.104321; 48; 15.892295;
8; 5; 46; 13.070223; 13.511726; 46; 13.070223;
8; 15; 36; 16.791617; 16.908460; 36; 16.791617;
8; 3; 30; 18.137643; 19.091818; 30; 18.137643;
8; 2; 30; 39.851097; 38.202676; 30; 39.851097;
8; 13; 26; 17.474671; 16.388110; 26; 17.474671;
8; 4; 19; 7.048983; 0.515403; 19; 7.048983;
8; 16; 16; 45.203623; 15.310808; 7; 45.203623;
8; 19; 15; 45.178079; 45.330505; 15; 45.178079;
8; 10; 15; 46.056332; 46.273287; 15; 46.056332;
8; 18; 13; 17.593950; 17.422482; 13; 17.593950;
8; 8; 12; 14.811117; 14.840599; 12; 14.811117;
8; 9; 11; 48.359814; 48.459370; 11; 48.359814;
8; 12; 10; 46.186832; 45.996760; 19; 42.537070;
8; 1; 9; 44.980899; 45.330073; 10; 7.836746;



9; 17; 92; 17.524277; 18.448275; 92; 17.524277;
9; 0; 72; 3.747117; 7.048983; 72; 3.747117;
9; 11; 61; 46.186446; 45.686555; 61; 46.186446;
9; 6; 55; 4.676748; 7.739699; 55; 4.676748;
9; 14; 52; 45.754581; 45.233228; 52; 45.754581;
9; 7; 48; 15.564417; 15.892295; 48; 15.564417;
9; 5; 46; 10.870760; 13.070223; 46; 10.870760;
9; 15; 36; 16.686569; 16.791617; 36; 16.686569;
9; 3; 30; 18.583631; 18.137643; 30; 18.583631;
9; 2; 30; 39.839022; 39.851097; 30; 39.839022;
9; 13; 26; 14.841060; 17.474671; 26; 14.841060;
9; 4; 19; 3.747117; 7.048983; 19; 3.747117;
9; 12; 19; 46.072901; 42.537070; 10; 46.072901;
9; 10; 15; 46.048314; 46.056332; 15; 46.048314;
9; 19; 15; 47.172593; 45.178079; 15; 47.172593;
9; 18; 13; 17.937249; 17.593950; 13; 17.937249;
9; 8; 12; 16.183417; 14.811117; 12; 16.183417;
9; 9; 11; 49.062593; 48.359814; 11; 49.062593;
9; 1; 10; 46.061980; 7.836746; 30; 35.000699;
9; 16; 7; 45.444179; 45.203623; 10; 24.500489;



10; 17; 92; 17.776441; 17.524277; 92; 17.776441;
10; 0; 72; 3.540586; 3.747117; 72; 3.540586;
10; 11; 61; 45.574204; 46.186446; 61; 45.574204;
10; 6; 55; 4.186816; 4.676748; 55; 4.186816;
10; 14; 52; 45.880645; 45.754581; 52; 45.880645;
10; 7; 48; 14.589363; 15.564417; 48; 14.589363;
10; 5; 46; 10.201951; 10.870760; 46; 10.201951;
10; 15; 36; 18.037996; 16.686569; 36; 18.037996;
10; 3; 30; 17.980495; 18.583631; 30; 17.980495;
10; 2; 30; 37.464381; 39.839022; 30; 37.464381;
10; 1; 30; 46.125784; 35.000699; 9; 46.125784;
10; 13; 26; 16.355117; 14.841060; 26; 16.355117;
10; 4; 19; 3.540586; 3.747117; 19; 3.540586;
10; 19; 15; 45.257076; 47.172593; 15; 45.257076;
10; 10; 15; 46.180806; 46.048314; 15; 46.180806;
10; 18; 13; 19.357962; 17.937249; 13; 19.357962;
10; 8; 12; 17.283359; 16.183417; 12; 17.283359;
10; 9; 11; 48.696746; 49.062593; 11; 48.696746;
10; 12; 10; 45.415791; 46.072901; 19; 43.040051;
10; 16; 10; 47.065069; 24.500489; 19; 18.929635;



11; 17; 92; 18.612993; 17.776441; 92; 18.612993;
11; 0; 72; 11.019257; 3.540586; 72; 11.019257;
11; 11; 61; 47.854444; 45.574204; 61; 47.854444;
